單字,詞性,詞根,中文解釋,例句1,例句2
deceive,v.,de- down/away; -ceive- take,欺騙; 矇蔽,He deceived her with his lies.,She felt deceived.
decent,adj.,decent- proper,得體的; 正派的; 相當好的,He is a decent person.,They earn a decent living.
declaration,n.,de- down/away; -clar- clear; -ation act/state of,聲明; 宣言,The Declaration of Independence.,He made a public declaration.
decline,n./v.,de- down/away; -clin- lean,下降; 衰退; 拒絕,The company's profits declined.,He declined the invitation.
dedicate,v.,de- down/away; -dic- say/proclaim; -ate make/cause to be,奉獻; 致力於,He dedicated his life to science.,She dedicated the book to her parents.
defendant,n.,de- down/away; -fend- strike; -ant person,被告,The defendant pleaded not guilty.,The defendant was found guilty.
deficit,n.,de- down/away; -fic- make,赤字; 虧損,The country has a budget deficit.,They faced a trade deficit.
defy,v.,de- down/away; -fy- trust,違抗; 蔑視,He defied his parents.,She defied convention.
delegate,n./v.,de- down/away; -leg- send/appoint; -ate make/cause to be,代表; 委託,He was a delegate to the conference.,They delegated the task to him.
delegation,n.,de- down/away; -leg- send/appoint; -ation act/state of,代表團; 授權,A delegation from China visited the country.,He led the delegation.
deliberate,adj./v.,de- down/away; -liber- balance; -ate make/cause to be,故意的; 深思熟慮的; 仔細考慮,He made a deliberate decision.,They deliberated for hours.
democrat,n.,dem- people; -crat- rule,民主黨人; 民主主義者,He is a democrat.,The Democratic Party.
denial,n.,de- down/away; -ny- deny; -al act/state of,否認; 拒絕,He issued a denial of the charges.,Her denial was firm.
density,n.,dens- thick; -ity state/quality,密度; 稠密,The density of the population.,The density of the material.
depict,v.,de- down/away; -pict- paint,描繪; 描述,The painting depicts a rural scene.,The book depicts life in the 19th century.
deploy,v.,de- down/away; -ploy- fold,部署; 展開,They deployed troops to the region.,The company deployed new software.
depress,v.,de- down/away; -press- press,使沮喪; 使蕭條,The news depressed him.,The economic downturn depressed the market.
deputy,n.,de- down/away; -put- put,副手; 代理人,He is the deputy director.,The deputy mayor.
derive,v.,de- down/away; -riv- stream,獲得; 源於,He derived great pleasure from his work.,The word derives from Latin.
descend,v.,de- down/away; -scend- climb,下降; 遺傳,The path descends steeply.,He descended from a noble family.
descriptive,adj.,de- down/away; -script- write; -ive tending to,描述性的; 描寫的,He gave a descriptive account of the event.,The book is very descriptive.
despair,n./v.,de- down/away; -sper- hope,絕望; 絕望,He was filled with despair.,She despaired of ever finding a job.
destination,n.,de- down/away; -stin- stand; -ation act/state of,目的地; 終點,They reached their destination.,The train's destination is London.
destiny,n.,de- down/away; -stin- stand; -y result of,命運; 天命,He believed in destiny.,She fulfilled her destiny.
destructive,adj.,de- down/away; -struct- build; -ive tending to,破壞性的; 有害的,The fire was very destructive.,His criticism was destructive.
devotion,n.,de- down/away; -vot- vow; -ion act/state of,奉獻; 忠誠,Her devotion to her family was admirable.,He showed great devotion to his work.
diagnose,v.,dia- through; -gnos- know,診斷,The doctor diagnosed him with cancer.,She was diagnosed with a rare disease.
diagnosis,n.,dia- through; -gnos- know; -is act/state of,診斷; 診斷結果,The doctor gave him a diagnosis.,The diagnosis was accurate.
dialect,n.,dia- through; -lect- speak,方言; 土語,He speaks a local dialect.,The dialect is difficult to understand.
diameter,n.,dia- through; -meter- measure,直徑,The diameter of the circle is 10 cm.,The pipe has a small diameter.
diaper,n.,diaper- cloth,尿布,The baby needs a diaper change.,She changed the baby's diaper.
digestion,n.,di- apart; -gest- carry; -ion act/state of,消化; 領悟,Good digestion is important for health.,He has a good digestion.
dilemma,n.,di- two; -lemma- proposition,困境; 進退兩難,He faced a difficult dilemma.,She was in a dilemma.
dimension,n.,di- apart; -mens- measure; -ion act/state of,尺寸; 維度,The room has large dimensions.,Time is the fourth dimension.
diminish,v.,di- apart; -min- small; -ish make,減少; 縮小,The pain diminished gradually.,His power diminished.
diplomatic,adj.,diploma- folded paper; -atic pertaining to,外交的; 有策略的,He handled the situation with diplomatic skill.,The diplomatic relations between the two countries.
directory,n.,di- apart; -rect- straight; -ory place,目錄; 電話簿,He looked up her number in the directory.,The computer directory.
disapprove,v.,dis- not; ap- to/toward; -prov- test,不贊成; 反對,She disapproved of his behavior.,He disapproved of smoking.
disclose,v.,dis- not; close- close,揭露; 公開,He refused to disclose the information.,The company disclosed its financial results.
disconnect,v.,dis- not; con- together; -nect- bind,斷開; 分離,He disconnected the phone.,The internet connection was disconnected.
discourse,n.,dis- apart; -cours- run,論述; 談話,He gave a discourse on philosophy.,The academic discourse.
discriminate,v.,dis- apart; -crimin- distinguish; -ate make/cause to be,歧視; 區別對待,They discriminated against women.,It's illegal to discriminate on the basis of race.
discrimination,n.,dis- apart; -crimin- distinguish; -ation act/state of,歧視; 區別,Racial discrimination is a serious problem.,Gender discrimination.
disrupt,v.,dis- apart; -rupt- break,擾亂; 中斷,The protest disrupted traffic.,The bad weather disrupted their plans.
dissolve,v.,dis- apart; -solv- loosen,溶解; 解散,Sugar dissolves in water.,The parliament was dissolved.
distinction,n.,dis- apart; -stinct- prick; -ion act/state of,區別; 卓越,He made a clear distinction between the two terms.,She achieved distinction in her studies.
distinctive,adj.,dis- apart; -stinct- prick; -ive tending to,獨特的; 有特色的,He has a distinctive voice.,The building has a distinctive design.
distract,v.,dis- apart; -tract- draw,分散注意力; 使分心,The noise distracted him.,Don't distract me.
doctrine,n.,doc- teach; -trine- teaching,教義; 學說,The doctrine of separation of powers.,He preached a new doctrine.
document,n./v.,doc- teach; -ment result of,文件; 記錄; 記錄,He signed the document.,They documented the process.
documentary,n./adj.,doc- teach; -ment result of; -ary pertaining to,紀錄片; 紀實的,They watched a documentary about nature.,The film is a documentary.
domain,n.,dom- house/lord,領域; 範圍,The domain of science.,He is an expert in his domain.
dome,n./v.,dom- house/lord,圓頂; 穹頂; 形成圓頂,The building has a large dome.,The mountain was domed.
donate,v.,don- give; -ate make/cause to be,捐贈; 捐獻,He donated money to charity.,She donated blood.
donation,n.,don- give; -ation act/state of,捐贈; 捐款,They received a large donation.,He made a donation.
donor,n.,don- give; -or agent,捐贈者; 供體,He is a blood donor.,The organ donor.
doorway,n.,door- door; way- way,門口; 入口,He stood in the doorway.,She walked through the doorway.
dough,n.,dough- paste,麵糰; 生面,She kneaded the dough.,He made bread from the dough.
dreadful,adj.,dread- fear; -ful full of,可怕的; 糟糕的,He had a dreadful dream.,The weather was dreadful.
driveway,n.,drive- drive; way- way,車道; 私人車道,He parked his car in the driveway.,The driveway was covered in snow.
drought,n.,drought- dry,乾旱; 旱災,The country suffered from a severe drought.,The drought caused crop failures.
ecological,adj.,eco- house; -log- word/reason; -ical pertaining to,生態的; 生態學的,He studies ecological systems.,The ecological balance.
ecology,n.,eco- house; -log- word/reason; -y result of,生態學,She is studying ecology.,Ecology is the study of the environment.
ecosystem,n.,eco- house; system- system,生態系統,The forest is a complex ecosystem.,Protecting the ecosystem is important.
ego,n.,ego- I,自我; 自負,He has a big ego.,His ego was bruised.
elaborate,adj./v.,e- out; -labor- work; -ate make/cause to be,精心的; 複雜的; 詳細闡述,She wore an elaborate dress.,He elaborated on his plan.
eligible,adj.,e- out; -lig- choose; -ible capable of,有資格的; 合格的,He is eligible for the scholarship.,Are you eligible to vote?
eloquent,adj.,e- out; -loqu- speak; -ent being,雄辯的; 有說服力的,He gave an eloquent speech.,She is an eloquent speaker.
embrace,v./n.,em- in; -brace- arm,擁抱; 接受; 擁抱,She embraced him warmly.,He embraced the new ideas.
emission,n.,e- out; -miss- send; -ion act/state of,排放; 散發,Carbon emissions contribute to global warming.,The emission of light.
endorse(ment),v./(n.),en- in; -dors- back; -ment result of,認可; 支持; 背書,He endorsed the product.,She received an endorsement from the celebrity.
enterprise,n.,enter- between; -pris- take,企業; 事業,He started a new enterprise.,Free enterprise is important.
enthusiastic,adj.,en- in; -thus- god; -iast- inspired; -ic pertaining to,熱情的; 熱心的,He is an enthusiastic supporter of the team.,She was enthusiastic about the project.
entitle,v.,en- in; -titl- title; -e make/cause to be,使有資格; 命名,This ticket entitles you to a free drink.,The book is entitled "War and Peace".
entity,n.,ent- being; -ity state/quality,實體; 存在,The company is a legal entity.,The two entities merged.
entrepreneur,n.,entre- between; -pren- take,企業家; 創業者,He is a successful entrepreneur.,She wants to be an entrepreneur.
envious,adj.,en- in; -vid- see; -ious full of,嫉妒的; 羨慕的,She was envious of his success.,He felt envious of her beauty.
envision,v.,en- in; -vis- see; -ion act/state of,展望; 設想,He envisioned a future of peace.,She envisioned herself as a successful artist.
epidemic,n./adj.,epi- upon; -dem- people; -ic pertaining to,流行病; 流行性的,The country faced an epidemic of flu.,The disease became epidemic.
episode,n.,epi- upon; -sode- way,插曲; 一集,He watched an episode of his favorite TV show.,The incident was a strange episode.
equation,n.,equ- equal; -ation act/state of,方程式; 等式,He solved the equation.,The equation of supply and demand.
equity,n.,equ- equal; -ity state/quality,公平; 股權,They sought equity in the workplace.,He has equity in the company.
equivalent,n./adj.,equ- equal; -val- value; -ent being,等價物; 相等的,The two amounts are equivalent.,One dollar is equivalent to 100 cents.
erect,v./adj.,e- out; -rect- straight,建立; 豎立; 直立的,They erected a monument.,He stood erect.
errand,n.,errand- message,差事; 跑腿,She ran some errands.,He went on an errand.
erupt,v.,e- out; -rupt- break,爆發; 噴發,The volcano erupted.,Violence erupted in the city.
escalator,n.,e- out; -scal- climb; -ator agent,自動扶梯,They rode the escalator to the top floor.,The escalator was broken.
essence,n.,ess- be; -ence state/quality,本質; 精髓,The essence of the problem.,He captured the essence of the moment.
estate,n.,es- out; -stat- stand,房地產; 財產,He inherited a large estate.,The real estate market is booming.
eternal,adj.,etern- eternal; -al pertaining to,永恆的; 永久的,He believed in eternal life.,The eternal struggle between good and evil.
ethic(s),n.,eth- custom; -ic pertaining to,道德; 倫理,He has a strong work ethic.,They discussed the ethics of the situation.
ethical,adj.,eth- custom; -ical pertaining to,道德的; 倫理的,He made an ethical decision.,The company has high ethical standards.
evolution,n.,e- out; -volv- roll; -ion act/state of,進化; 演變,The theory of evolution.,The evolution of technology.
evolve,v.,e- out; -volv- roll,進化; 發展,Species evolve over time.,The company evolved its strategy.
exaggeration,n.,ex- out; -agger- heap; -ation act/state of,誇張; 言過其實,His story was full of exaggeration.,She was prone to exaggeration.
exceed,v.,ex- out; -cede- go,超過; 超越,He exceeded the speed limit.,His performance exceeded expectations.
exceptional,adj.,ex- out; -cept- take; -ion act/state of; -al pertaining to,例外的; 傑出的,He has exceptional talent.,She is an exceptional student.
excessive,adj.,ex- out; -cess- go; -ive tending to,過度的; 過多的,He drank an excessive amount of alcohol.,Excessive spending can lead to debt.
exclaim,v.,ex- out; -claim- cry out,呼喊; 驚叫,She exclaimed in surprise.,He exclaimed with joy.
exclude,v.,ex- out; -clud- shut,排除; 排斥,They excluded him from the group.,The price excludes tax.
exclusive,adj.,ex- out; -clus- shut; -ive tending to,獨有的; 排他的; 高級的,The club is very exclusive.,He has exclusive rights to the product.
execute,v.,ex- out; -secut- follow,執行; 處決,They executed the plan.,He was executed for his crimes.
execution,n.,ex- out; -secut- follow; -ion act/state of,執行; 處決,The execution of the plan was flawless.,The execution of the prisoner.
executive,n./adj.,ex- out; -secut- follow; -ive tending to,行政主管; 執行的,She is a senior executive.,He holds an executive position.
exile,n./v.,ex- out; -ile- island,流放; 放逐; 流放,He lived in exile for many years.,They exiled him from the country.
exotic,adj./n.,ex- out; -ot- foreign; -ic pertaining to,異國的; 奇異的; 異國情調,She loves exotic food.,The garden was full of exotic plants.
expedition,n.,ex- out; -ped- foot; -ition act/state of,遠征; 探險,They went on an expedition to the Arctic.,The expedition was successful.
expertise,n.,ex- out; -pert- try; -ise state/quality,專業知識; 專長,He has great expertise in computer science.,She shared her expertise.
explicit,adj.,ex- out; -plic- fold; -it go,明確的; 清楚的,He gave explicit instructions.,The movie contains explicit scenes.
exploit,v./n.,ex- out; -ploit- fold,剝削; 利用; 功績,They exploited the workers.,He exploited the opportunity.
exploration,n.,ex- out; -plor- cry out; -ation act/state of,探索; 勘探,The exploration of space.,The exploration of new lands.
extension,n.,ex- out; -tend- stretch; -ion act/state of,延伸; 擴展; 分機,The extension of the deadline.,He asked for an extension.
extensive,adj.,ex- out; -tend- stretch; -ive tending to,廣泛的; 大量的,He has extensive knowledge of history.,The company has extensive resources.
exterior,n./adj.,exter- outer; -ior- comparative,外部; 外面的,The exterior of the building was painted.,The exterior walls.
external,adj./n.,exter- outer; -nal pertaining to,外部的; 外面的,External factors influenced the decision.,He sought external advice.
extinct,adj.,ex- out; -stinct- prick,滅絕的; 絕種的,Dinosaurs are extinct.,The species is extinct.
extraordinary,adj.,extra- beyond; -ordin- order; -ary pertaining to,非凡的; 非常的,He has extraordinary talent.,It was an extraordinary event.
fabric,n.,fabr- make,織物; 布料,The dress is made of silk fabric.,He bought some fabric.
fabulous,adj.,fab- speak; -ulous full of,極好的; 難以置信的,She looked fabulous in her new dress.,They had a fabulous time.
facilitate,v.,facil- easy; -itate make/cause to be,促進; 使便利,The new system will facilitate communication.,He facilitated the discussion.
faculty,n.,fac- make; -ult- able; -y result of,全體教員; 才能,She is a member of the faculty.,He has a faculty for languages.
fascinate,v.,fascin- charm; -ate make/cause to be,使著迷; 吸引,The story fascinated him.,She was fascinated by his ideas.
fatigue,n./v.,fatig- weary,疲勞; 疲憊; 使疲勞,He suffered from fatigue.,The long journey fatigued him.
federal,adj.,feder- league; -al pertaining to,聯邦的; 聯邦政府的,The federal government is responsible for national defense.,Federal law.
fiber,n.,fiber- thread,纖維; 纖維素,The clothes are made of natural fibers.,Dietary fiber is important.
filter,n./v.,filter- felt,過濾器; 過濾,He used a filter to purify the water.,The light filtered through the trees.
fiscal,adj.,fisc- purse; -al pertaining to,財政的; 國庫的,The company's fiscal year ends in December.,Fiscal policy.
fleet,n.,fleet- float,艦隊; 機群,The navy has a large fleet of ships.,The airline has a fleet of modern aircraft.
flexibility,n.,flex- bend; -ible capable of; -ity state/quality,靈活性; 柔韌性,The company offers flexibility in working hours.,He showed great flexibility.
flip,v./n.,flip- flick,翻轉; 輕彈; 翻轉,He flipped the coin.,She gave him a flip answer.
fluency,n.,flu- flow; -ency state/quality,流利; 流暢,He speaks English with great fluency.,Her fluency in French is impressive.
fluid,n./adj.,flu- flow; -id pertaining to,液體; 流動的; 不固定的,Water is a fluid.,The situation is still fluid.
forge,v.,forge- smithy,鍛造; 偽造; 形成,He forged a sword.,They forged a new alliance.
format,n./v.,form- form; -at- act,格式; 編排; 格式化,The document is in a different format.,He formatted the hard drive.
forum,n.,forum- public place,論壇; 討論會,They held a public forum.,The internet forum.
foster,adj./v.,foster- nourish,寄養的; 培養; 促進,She is a foster mother.,They foster good relations.
foul,adj./n./v./adv.,foul- rotten,汙穢的; 犯規; 弄髒; 犯規地,The air was foul.,He committed a foul.
fraction,n.,fract- break; -ion act/state of,分數; 小部分,He ate a small fraction of the cake.,A fraction of a second.
fragment,n./v.,frag- break; -ment result of,碎片; 片段; 破碎,The vase broke into fragments.,The document was fragmented.
framework,n.,frame- frame; work- work,框架; 結構,The framework of the building.,He developed a theoretical framework.
franchise,n.,franc- free,特許經營權; 選舉權,He bought a fast-food franchise.,The movie franchise is popular.
fraud,n.,fraud- deceit,欺詐; 騙局,He was accused of fraud.,The company committed fraud.
freight,n./v.,freight- load,貨物; 運費; 運送,The ship carried freight.,They shipped the goods by freight.
frontier,n.,front- front; -ier- place,邊境; 前沿,The pioneers settled on the frontier.,The frontier of scientific research.
galaxy,n.,galact- milk,星系; 銀河系,Our solar system is part of the Milky Way galaxy.,He studies galaxies.
gasp,n./v.,gasp- breath,喘息; 倒吸氣; 喘息,She let out a gasp of surprise.,He gasped for air.
gathering,n.,gather- gather; -ing act/state of,聚會; 聚集,A family gathering.,The gathering of information.
generate,v.,gen- birth; -er- agent; -ate make/cause to be,產生; 發生,The engine generates electricity.,The project generated a lot of interest.
generator,n.,gen- birth; -er- agent; -ator agent,發電機; 發生器,They used a generator to power the house.,The emergency generator.
genetic,adj.,gen- birth; -et- origin; -ic pertaining to,基因的; 遺傳的,He studies genetic engineering.,Genetic diseases.
genetics,n.,gen- birth; -et- origin; -ics art/science,遺傳學,She is studying genetics.,Genetics is a fascinating field.
genre,n.,gen- birth,類型; 風格,He enjoys various genres of music.,The film belongs to the horror genre.
glare,n./v.,glare- shine,眩光; 怒視; 閃耀,The glare of the sun was blinding.,She glared at him.
gloomy,adj.,gloom- darkness; -y full of,陰沉的; 憂鬱的,The weather was gloomy.,He was in a gloomy mood.
gorgeous,adj.,gorg- proud,華麗的; 美麗的,She wore a gorgeous dress.,The view was gorgeous.
grant,n./v.,grant- agree,撥款; 補助金; 授予,He received a research grant.,They granted him permission.
graphic,adj./n.,graph- write; -ic pertaining to,圖形的; 生動的; 圖形,He created a graphic design.,The book contains graphic descriptions.
gravity,n.,grav- heavy; -ity state/quality,重力; 嚴重性,The law of gravity.,The gravity of the situation.
greed,n.,greed- desire,貪婪; 貪心,His greed led to his downfall.,She was motivated by greed.
grieve,v.,griev- heavy,悲傷; 哀悼,She grieved for her lost pet.,He grieved over his mistakes.
grill,n./v.,grill- grate,烤架; 燒烤; 盤問,He cooked the meat on the grill.,The police grilled him.
grim,adj.,grim- fierce,嚴峻的; 陰森的,He gave a grim smile.,The future looks grim.
grip,n./v.,grip- grasp,緊握; 控制; 抓緊,He had a firm grip on the rope.,She lost her grip on reality.
gross,adj./v./n.,gross- thick,總的; 粗俗的; 獲得總收入,The company's gross profit.,He earned a gross amount of money.
guideline,n.,guide- guide; line- line,指導方針; 準則,They followed the guidelines.,The government issued new guidelines.
gut,n./v.,gut- intestine,腸; 內臟; 勇氣; 取出內臟,He had a gut feeling.,The fish was gutted.
habitat,n.,habit- dwell; -at- place,棲息地; 住所,The forest is the habitat of many animals.,Protecting natural habitats.
haul,v./n.,haul- pull,拖運; 搬運; 捕獲量,They hauled the boat out of the water.,The fishermen had a good haul.
hazard,n./v.,hazard- chance,危險; 危害; 冒險,Smoking is a health hazard.,He hazarded a guess.
heir,n.,heir- inheritor,繼承人; 後嗣,He is the heir to the throne.,She is the sole heir.
hence,adv.,hen- here; -ce- from,因此; 所以,"He is ill, hence he cannot come.","The road was closed, hence the delay."
herb,n.,herb- grass,草藥; 香草,She uses fresh herbs in her cooking.,Herbal medicine.
heritage,n.,herit- heir; -age act/state of,遺產; 傳統,The country has a rich cultural heritage.,Protecting our heritage.
highlight,v./n.,high- high; light- light,突出; 強調; 最精彩的部分,He highlighted the important points.,The highlight of the show.
hockey,n.,hock- hook,曲棍球; 冰球,He plays hockey.,Ice hockey is a popular sport.
honorable,adj.,honor- honor; -able capable of,光榮的; 值得尊敬的,He is an honorable man.,She made an honorable decision.
horizontal,adj./n.,horiz- horizon; -ontal pertaining to,水平的; 橫的; 水平線,Draw a horizontal line.,The table is horizontal.
hormone,n.,hormon- excite,荷爾蒙; 激素,Hormones regulate body functions.,She has a hormone imbalance.
hostage,n.,host- guest,人質,The terrorists took several hostages.,He was held hostage.
hostile,adj.,host- enemy; -ile pertaining to,敵對的; 敵意的,He was hostile towards her.,The crowd was hostile.
hostility,n.,host- enemy; -ility state/quality,敵意; 敵對,There was hostility between the two groups.,He felt hostility towards them.
housing,n.,house- house; -ing act/state of,住房; 房屋,Affordable housing is a major issue.,They need better housing.
howl,n./v.,howl- cry,嚎叫; 咆哮; 嚎叫,The wolf howled at the moon.,He howled with laughter.
hypothesis,n.,hypo- under; -thes- put,假設; 假說,He tested his hypothesis.,The scientific hypothesis.
icon,n.,icon- image,圖標; 偶像,The app has a new icon.,She is a fashion icon.
ideology,n.,ideo- idea; -logy study of,意識形態; 思想體系,Political ideology.,He challenged the dominant ideology.
idiot,n.,idiot- private person,白痴; 笨蛋,He called him an idiot.,Don't be an idiot.
illusion,n.,il- in; -lus- play; -ion act/state of,幻覺; 錯覺,He was under the illusion that she loved him.,The magician created an illusion.
immense,adj.,im- not; -mens- measure,巨大的; 廣大的,The universe is immense.,He has immense wealth.
immune,adj.,im- not; -mun- service,免疫的; 免除的,He is immune to the disease.,She is immune from prosecution.
implement,v./n.,im- in; -ple- fill; -ment result of,實施; 執行; 工具,They implemented the new policy.,He used various implements.
implication,n.,im- in; -plic- fold; -ation act/state of,暗示; 含義; 牽連,His words had serious implications.,The implication of his statement.
impulse,n.,im- in; -puls- drive,衝動; 脈衝,He acted on impulse.,She resisted the impulse to laugh.
incentive,n./adj.,in- in; -cent- sing; -ive tending to,激勵; 刺激; 激勵的,They offered financial incentives.,The incentive to work harder.
incorporate,v.,in- in; -corp- body; -ate make/cause to be,合併; 包含,They incorporated the new features into the design.,The company was incorporated.
index,n./v.,in- in; -dex- point,索引; 指數; 編制索引,He looked up the word in the index.,The stock market index.
indifferent,adj.,in- not; dif- apart; -fer- carry; -ent being,冷漠的; 不關心的,He was indifferent to her suffering.,She was indifferent to his opinion.
indigenous,adj.,in- in; -gen- birth; -ous full of,土著的; 本地的,The indigenous people of the Amazon.,Indigenous plants.
indispensable,adj.,in- not; dis- apart; -pens- weigh; -able capable of,不可缺少的; 必需的,He is an indispensable member of the team.,Water is indispensable for life.
indulge,v.,in- in; -dulg- allow,沉溺; 縱容,She indulged in a shopping spree.,He indulged his children.
inevitable,adj.,in- not; e- out; -vit- avoid; -able capable of,不可避免的; 必然的,Death is inevitable.,The outcome was inevitable.
infect,v.,in- in; -fect- make,感染; 傳染,The virus infected his computer.,He was infected with the flu.
infinite,adj.,in- not; fin- end; -ite pertaining to,無限的; 無窮的,The universe is infinite.,He has infinite patience.
infrastructure,n.,infra- below; struct- build; -ure act/state of,基礎設施; 基礎建設,The country needs better infrastructure.,Investing in infrastructure.
inherent,adj.,in- in; -her- stick; -ent being,固有的; 內在的,The risks are inherent in the job.,He has an inherent talent for music.
inherit,v.,in- in; -her- heir,繼承; 遺傳,He inherited a large fortune.,She inherited her mother's good looks.
initiate,v./adj./n.,in- in; -it- go; -iate make/cause to be,開始; 發起; 初步的; 新手,They initiated a new project.,The initiate was welcomed.
initiative,n./adj.,in- in; -it- go; -ative tending to,主動性; 倡議; 主動的,He took the initiative.,The peace initiative.
inject,v.,in- in; -ject- throw,注射; 注入,The doctor injected him with a vaccine.,He injected humor into the conversation.
injection,n.,in- in; -ject- throw; -ion act/state of,注射; 注入,He received an injection.,The flu injection.
inning,n.,in- in; -ing act/state of,局; 回合,The game was in the ninth inning.,He scored a run in the first inning.
innovation,n.,in- in; -nov- new; -ation act/state of,創新; 革新,The company is known for its innovation.,Technological innovation.
innovative,adj.,in- in; -nov- new; -ative tending to,創新的; 革新的,He has innovative ideas.,The company is very innovative.
inquiry,n.,in- in; -quir- seek; -y result of,詢問; 調查,He made an inquiry about the job.,The police launched an inquiry.
insane,adj.,in- not; san- healthy,精神失常的; 瘋狂的,He was declared insane.,The idea is insane.
insight,n.,in- in; sight- sight,洞察力; 見解,He has great insight into human nature.,The book provides valuable insights.
installation,n.,in- in; -stall- place; -ation act/state of,安裝; 裝置,The installation of the new software.,The art installation.
institute,n./v.,in- in; -stitut- stand; -e make/cause to be,學院; 研究所; 設立,He works at a research institute.,They instituted a new policy.
institution,n.,in- in; -stitut- stand; -ion act/state of,機構; 制度,The university is a respected institution.,Marriage is a social institution.
intact,adj.,in- not; -tact- touch,完好無損的; 完整無缺的,The package arrived intact.,The ancient ruins remained intact.
integrate,v.,in- in; -tegr- whole; -ate make/cause to be,整合; 融入,They integrated the new system.,He integrated into the community.
integration,n.,in- in; -tegr- whole; -ation act/state of,整合; 融合,The integration of different cultures.,Economic integration.
integrity,n.,in- in; -tegr- whole; -ity state/quality,正直; 完整,He is a man of great integrity.,The integrity of the data.
intensify,v.,in- in; -tens- stretch; -fy make,加強; 強化,The storm intensified.,The conflict intensified.
intent,n./adj.,in- in; -tend- stretch,意圖; 目的; 故意的,He had no intent to harm her.,His intent was clear.
interference,n.,inter- between; -fer- carry; -ence state/quality,干涉; 干擾,He resented her interference.,The radio signal suffered from interference.
interior,adj./n.,inter- between; -ior- comparative,內部; 裡面的,The interior of the house was beautifully decorated.,The interior design.
interpretation,n.,inter- between; -pret- explain; -ation act/state of,解釋; 翻譯,His interpretation of the poem was interesting.,The interpretation of dreams.
interval,n.,inter- between; -val- wall,間隔; 間歇,There was a short interval between the acts.,He took a break at regular intervals.
intervention,n.,inter- between; -ven- come; -ion act/state of,干預; 介入,Military intervention was necessary.,The government's intervention in the economy.
investigator,n.,in- in; -vestig- track; -ator agent,調查員; 偵探,The police investigator questioned him.,She is a private investigator.
irony,n.,iron- opposite; -y result of,諷刺; 具有諷刺意味的事,The irony of the situation was not lost on him.,He appreciated the irony.
journalism,n.,journ- day; -al- pertaining to; -ism doctrine,新聞業; 新聞學,She is studying journalism.,He works in journalism.
journalist,n.,journ- day; -al- pertaining to; -ist person,記者; 新聞工作者,He is a journalist for a major newspaper.,She is a freelance journalist.
judicial,adj.,jud- judge; -ic- pertaining to; -ial pertaining to,司法的; 審判的,The judicial system is complex.,Judicial review.
jug,n./v.,jug- vessel,壺; 罐; 倒出,He poured water from the jug.,She jugged the wine.
jury,n.,jur- swear,陪審團,The jury reached a verdict.,The jury found him guilty.
justify,v.,just- right; -fy make,證明...正當; 為...辯護,He tried to justify his actions.,The end does not justify the means.
juvenile,adj./n.,juven- young; -ile pertaining to,少年的; 幼稚的; 青少年,Juvenile delinquency is a problem.,The juvenile court.
kidnap,v.,kid- child; nap- seize,綁架; 劫持,They kidnapped the child.,He was kidnapped for ransom.
landlord,n.,land- land; lord- lord,房東; 地主,He pays rent to his landlord.,The landlord owns the building.
laser,n.,laser- light amplification by stimulated emission of radiation,激光,They used a laser to cut the metal.,The laser beam.
lawmaker,n.,law- law; make- make; -er person,立法者; 議員,Lawmakers passed a new bill.,She is a lawmaker.
lawsuit,n.,law- law; suit- suit,訴訟; 官司,He filed a lawsuit against the company.,The lawsuit was settled out of court.
layer,n./v.,lay- lay; -er agent,層; 階層; 分層,The cake has three layers.,He layered the clothes.
league,n./v.,league- bind,聯盟; 聯賽; 結盟,The football league.,They formed a league.
legacy,n.,leg- law; -acy state/quality,遺產; 遺贈,He left a lasting legacy.,The legacy of the Roman Empire.
legendary,adj.,leg- law; -end- end; -ary pertaining to,傳奇的; 傳說中的,He is a legendary figure.,The legendary King Arthur.
legislation,n.,legis- law; -lat- carry; -ion act/state of,立法; 法律,The new legislation will affect many people.,Environmental legislation.
legislative,adj.,legis- law; -lat- carry; -ive tending to,立法的; 立法機構的,The legislative branch of government.,Legislative power.
legitimate,adj./v.,legit- lawful; -imate make/cause to be,合法的; 正當的; 使合法化,The claim is legitimate.,He legitimized his position.
lest,conj.,lest- for fear that,唯恐; 以免,He ran fast lest he be late.,She was careful lest she offend anyone.
liability,n.,li- bind; -able capable of; -ity state/quality,責任; 債務,The company has limited liability.,He accepted full liability.
likelihood,n.,like- like; -li- like; -hood state/quality,可能性; 機會,There is a high likelihood of rain.,The likelihood of success.
likewise,adv.,like- like; wise- way,同樣地; 也,"He is a good student, and likewise his sister.","She did well, and likewise her classmates."
loop,n.,loop- curve,環; 圈; 循環,He tied the rope in a loop.,The program runs in a loop.
lounge,n./v.,lounge- loiter,休息室; 閒逛; 懶洋洋地坐,They waited in the airport lounge.,He lounged on the sofa.
lump,n./v.,lump- mass,塊; 腫塊; 結塊,He had a lump in his throat.,The sugar lumped together.
mainstream,n.,main- main; stream- stream,主流; 主流的,He is part of the mainstream culture.,The mainstream media.
maintenance,n.,main- hand; -tain- hold; -ance state/quality,維護; 保養,The car needs regular maintenance.,Building maintenance.
mammal,n.,mamm- breast,哺乳動物,Humans are mammals.,Whales are marine mammals.
mandate,n.,mand- command; -ate make/cause to be,授權; 命令,The government received a mandate from the people.,He acted under a mandate.
manifest,v./adj.,man- hand; -fest- strike,表明; 顯示; 明顯的,His anger manifested itself in his words.,The manifest injustice.
