單字,詞性,詞根,中文解釋,例句1,例句2
enjoyable,adj.,en- in; -joy- joy; -able capable of,令人愉快的; 有趣的,The movie was enjoyable.,An enjoyable experience.
entry,n.,en- in; -tr- go; -y result of,進入; 入口; 參賽作品,The entry to the building.,The entry fee is $5.
envy,n./v.,en- in; -vid- see,嫉妒; 羨慕; 嫉妒,He felt envy towards his brother.,She envied his success.
erase,v.,e- out; -ras- scrape,擦掉; 抹去,He erased the mistake.,She erased the data.
excellence,n.,ex- out; -cel- rise; -ence state/quality,卓越; 優秀,He strives for excellence.,The pursuit of excellence.
exchange,n./v.,ex- out; -change- change,交換; 交流; 交換,They exchanged gifts.,A cultural exchange.
exhibition,n.,ex- out; -hib- hold; -ition act/state of,展覽; 展覽會,The art exhibition was popular.,He visited the exhibition.
expectation,n.,ex- out; -spect- look; -ation act/state of,期望; 預期,He had high expectations.,The expectation of success.
experiment,n./v.,ex- out; -per- try; -iment- test,實驗; 試驗; 進行實驗,They conducted an experiment.,A scientific experiment.
explode,v.,ex- out; -plod- clap,爆炸; 爆發,The bomb exploded.,His anger exploded.
explore,v.,ex- out; -plor- cry out,探索; 探險,They explored the cave.,He explored new ideas.
export,n./v.,ex- out; -port- carry,出口; 輸出; 出口,The country exports oil.,The export of goods.
expressive,adj.,ex- out; -press- press; -ive tending to,有表現力的; 富於表情的,He has an expressive face.,Expressive language.
extreme,adj./n.,ex- out; -trem- tremble,極端的; 極度的; 極端,He went to extreme lengths.,The extreme cold.
fade,v.,fade- vanish,褪色; 逐漸消失,The colors faded.,His memory faded.
faint,adj./v./n.,faint- weak,微弱的; 模糊的; 昏倒; 昏厥,He heard a faint sound.,She fainted from hunger.
fairly,adv.,fair- fair; -ly in a manner,相當地; 公平地,He is fairly tall.,She treated him fairly.
fairy,n./adj.,fair- fair; -y result of,仙女; 精靈; 仙女的,She believes in fairies.,A fairy tale.
faith,n.,faith- trust,信仰; 信任,He has strong faith in God.,She lost faith in him.
fake,adj./v./n.,fake- feign,假的; 偽造的; 偽造; 假貨,The painting is a fake.,He faked his own death.
familiar,adj.,famil- family; -iar- pertaining to,熟悉的; 常見的,He is familiar with the city.,The familiar smell.
fancy,adj./n./v.,fant- show; -y result of,花哨的; 昂貴的; 愛好; 想象,She wore a fancy dress.,He took a fancy to her.
fare,n.,fare- go,票價; 車費,The bus fare is $2.,Airfare.
farther,adv./adj.,far- far; -ther- comparative,更遠地; 更遠的,He walked farther down the road.,The farther distance.
fashionable,adj.,fashion- fashion; -able capable of,時髦的; 流行的,She wears fashionable clothes.,A fashionable trend.
faucet,n.,faucet- tap,水龍頭,He turned on the faucet.,The leaky faucet.
fearful,adj.,fear- fear; -ful full of,可怕的; 害怕的,He was fearful of the dark.,A fearful sight.
feather,n.,feather- bird,羽毛,The bird has colorful feathers.,A feather pillow.
fence,n.,fence- defend,柵欄; 圍欄,He built a fence around the garden.,The fence is broken.
fighter,n.,fight- fight; -er person,戰士; 鬥士,He is a brave fighter.,A fighter jet.
firework,n.,fire- fire; work- work,煙花; 焰火,They watched the fireworks display.,A firework exploded.
fist,n./v.,fist- hand,拳頭; 緊握拳頭,He clenched his fist.,He fisted his hand.
flame,n./v.,flame- fire,火焰; 燃燒; 閃耀,The flames rose high.,The fire flamed.
flash,n./v.,flash- light,閃光; 閃爍; 閃光,A flash of lightning.,The camera flashed.
flashlight,n.,flash- light; light- light,手電筒,He shone a flashlight into the darkness.,A powerful flashlight.
flavor,n./v.,flavor- taste,味道; 風味; 給...調味,The ice cream has a vanilla flavor.,He flavored the sauce.
flesh,n.,flesh- meat,肉; 果肉; 身體,The flesh of the fruit is sweet.,Human flesh.
float,v./n.,float- swim,漂浮; 浮動; 浮標,The boat floated on the water.,A life float.
flock,n./v.,flock- group,群; 羊群; 群集,A flock of birds flew overhead.,The sheep flocked together.
flood,n./v.,flood- flow,洪水; 氾濫; 淹沒,The river flooded the town.,The floodwaters rose.
flour,n.,flour- meal,麵粉,She used flour to bake a cake.,Wheat flour.
flute,n.,flute- pipe,長笛; 笛子,She plays the flute.,A wooden flute.
foggy,adj.,fog- fog; -y full of,有霧的; 模糊的,The weather was foggy.,A foggy memory.
fold,v./n.,fold- bend,摺疊; 褶皺; 摺疊,He folded the paper.,The clothes have many folds.
follower,n.,follow- follow; -er person,追隨者; 信徒,He has many followers.,A loyal follower.
fond,adj.,fond- foolish,喜愛的; 喜歡的,He is fond of her.,She is fond of reading.
forever,adv.,for- for; ever- ever,永遠; 永恆地,I will love you forever.,He will be remembered forever.
fortune,n.,fort- chance,財富; 命運,He made a fortune in business.,She told his fortune.
fountain,n.,fount- spring,噴泉; 泉水,The fountain in the park.,A water fountain.
frank,adj.,frank- free,坦率的; 真誠的,He was frank with her.,A frank discussion.
freeze,v./n.,freeze- cold,結冰; 冷凍; 冰凍,The water froze.,A sudden freeze.
freezer,n.,freeze- cold; -er agent,冰箱; 冷凍櫃,He put the food in the freezer.,A deep freezer.
frequent,adj./v.,frequ- frequent; -ent being,頻繁的; 經常的; 常去,He makes frequent visits.,She frequents the library.
fright,n.,fright- fear,驚嚇; 恐懼,He got a fright.,She was filled with fright.
frighten,v.,fright- fear; -en make,使驚嚇; 嚇唬,The noise frightened her.,He was frightened by the dog.
fuel,n./v.,fuel- fire,燃料; 刺激; 加燃料,The car runs on fuel.,His words fueled her anger.
fund,n./v.,fund- bottom,基金; 資金; 資助,He contributed to the fund.,They funded the project.
fur,n.,fur- hair,毛皮; 皮毛,The cat has soft fur.,A fur coat.
gallon,n.,gallon- measure,加侖,He bought a gallon of milk.,A five-gallon bucket.
gamble,n./v.,gamble- play,賭博; 冒險; 賭博,He gambled his money away.,It's a gamble.
gang,n./v.,gang- group,幫派; 團伙; 結夥,He joined a gang.,The children ganged up on him.
gap,n.,gap- opening,缺口; 間隙; 差距,There is a gap in the fence.,The generation gap.
garage,n.,gar- shelter,車庫; 汽車修理廠,He parked his car in the garage.,A two-car garage.
gasoline/gas,n.,gas- gas; -ol- oil; -ine- substance,汽油,He filled the car with gasoline.,Gas prices are rising.
geography,n.,geo- earth; -graphy writing,地理; 地理學,He studies geography.,The geography of the region.
gesture,n./v.,gest- carry; -ure act/state of,手勢; 姿態; 做手勢,He made a gesture of apology.,She gestured for him to come.
glance,n./v.,glance- look,一瞥; 掃視; 瞥見,He took a glance at the newspaper.,She glanced at him.
global,adj.,glob- ball; -al pertaining to,全球的; 全世界的,Global warming is a serious problem.,The global economy.
glory,n.,glor- glory,光榮; 榮譽; 讚美,He achieved great glory.,The glory of God.
glow,n./v.,glow- shine,發光; 灼熱; 光輝,The embers glowed in the dark.,A warm glow.
golf,n./v.,golf- game,高爾夫球; 打高爾夫球,He plays golf every weekend.,A golf course.
gossip,n./v.,gossip- godparent,流言蜚語; 閒聊; 散佈流言,She loves to gossip.,He heard some gossip.
governor,n.,govern- rule; -or agent,州長; 總督,He is the governor of California.,The colonial governor.
grab,n./v.,grab- seize,抓住; 攫取; 抓住,He grabbed her hand.,She made a grab for the ball.
graduate,n./v.,grad- step; -ate make/cause to be,畢業生; 畢業; 畢業,He is a college graduate.,She graduated from Harvard.
grasp,v./n.,grasp- seize,抓住; 理解; 掌握,He grasped her hand.,He has a good grasp of the subject.
grasshopper,n.,grass- grass; hop- hop; -er agent,蚱蜢; 蝗蟲,A grasshopper jumped in the grass.,The grasshopper chirped.
grassy,adj.,grass- grass; -y full of,長滿草的; 綠草如茵的,The grassy field.,A grassy hill.
greedy,adj.,greed- desire; -y full of,貪婪的; 貪心的,He is a greedy person.,Greedy for money.
greenhouse,n.,green- green; house- house,溫室; 花房,They grow plants in a greenhouse.,A greenhouse effect.
grin,n./v.,grin- smile,露齒笑; 咧嘴笑; 露齒笑,He gave a wide grin.,She grinned at him.
grocery,n.,grocer- grocer; -y result of,雜貨店; 食品雜貨,He bought groceries at the store.,A grocery list.
guidance,n.,guide- guide; -ance state/quality,指導; 引導,He sought guidance from his mentor.,Career guidance.
gum,n.,gum- resin,口香糖; 牙齦; 樹膠,He chewed gum.,Chewing gum.
hairdresser,n.,hair- hair; dress- dress; -er person,理髮師; 美髮師,She went to the hairdresser.,A professional hairdresser.
hallway,n.,hall- hall; way- way,走廊; 過道,He walked down the hallway.,The long hallway.
hammer,n./v.,hammer- tool,錘子; 敲打; 錘擊,He hit the nail with a hammer.,He hammered the nail.
handful,n.,hand- hand; -ful full of,一把; 少量; 少數,He took a handful of coins.,A handful of people.
handkerchief,n.,hand- hand; kerchief- head covering,手帕; 紙巾,He wiped his nose with a handkerchief.,A silk handkerchief.
handy,adj.,hand- hand; -y full of,方便的; 靈巧的,The tool is very handy.,He is handy with tools.
hanger,n.,hang- hang; -er person,衣架; 掛鉤,He hung his coat on a hanger.,A clothes hanger.
harbor,n./v.,harbor- shelter,港口; 港灣; 庇護,The ship sailed into the harbor.,He harbored a secret.
harm,n./v.,harm- injury,傷害; 損害; 傷害,He meant no harm.,Smoking can harm your health.
harmful,adj.,harm- injury; -ful full of,有害的; 危險的,Smoking is harmful to your health.,Harmful chemicals.
harvest,n./v.,harvest- gather,收割; 收穫; 收割,The farmer harvested his crops.,The harvest season.
hasty,adj.,haste- speed; -y full of,匆忙的; 草率的,He made a hasty decision.,A hasty retreat.
hatch,n./v.,hatch- opening,孵化; 孵出; 艙口,The eggs hatched.,The chicks hatched.
hateful,adj.,hate- hate; -ful full of,可恨的; 充滿仇恨的,He gave her a hateful look.,A hateful act.
hay,n.,hay- grass,乾草,The farmer stored hay in the barn.,A bale of hay.
headline,n./v.,head- head; line- line,標題; 頭條新聞; 給...加標題,The newspaper headline.,The news made headlines.
headquarters,n.,head- head; quarter- quarter,總部; 總部,The company's headquarters is in New York.,Military headquarters.
heal,v.,heal- whole,治癒; 康復,The wound healed quickly.,Time heals all wounds.
heap,n./v.,heap- pile,堆; 大量; 堆積,He had a heap of books on his desk.,He heaped praise on her.
heater,n.,heat- heat; -er person,加熱器; 暖氣,He turned on the heater.,An electric heater.
heel,n./v.,heel- back of foot,腳後跟; 鞋跟; 緊隨,He walked on his heels.,The heel of his shoe.
hell,n.,hell- underworld,地獄; 陰間,He believes in heaven and hell.,Go to hell.
helmet,n.,helm- head,頭盔; 鋼盔,He wore a helmet for safety.,A motorcycle helmet.
hesitate,v.,hesit- stick; -ate make/cause to be,猶豫; 躊躇,He hesitated before answering.,Don't hesitate to ask.
hint,n./v.,hint- suggest,暗示; 提示; 暗示,He gave her a hint.,She hinted at a surprise.
hire,v./n.,hire- rent,僱用; 租用; 僱用,He hired a new employee.,The car is available for hire.
historian,n.,hist- history; -or- agent; -ian person,歷史學家,He is a famous historian.,A military historian.
historic,adj.,hist- history; -or- agent; -ic pertaining to,歷史性的; 有歷史意義的,A historic event.,Historic buildings.
holder,n.,hold- hold; -er person,持有者; 支架,He is the holder of the record.,A pen holder.
hollow,adj./n./v.,hollow- empty,空的; 凹陷的; 洞; 挖空,The tree trunk was hollow.,A hollow sound.
holy,adj.,holy- sacred,神聖的; 聖潔的,The Bible is a holy book.,Holy water.
homesick,adj.,home- home; sick- sick,思鄉的; 想家的,He felt homesick.,She was homesick for her family.
hometown,n.,home- home; town- town,家鄉; 故鄉,He returned to his hometown.,My hometown is small.
honesty,n.,honest- honest; -y result of,誠實; 正直,He is known for his honesty.,Her honesty was admirable.
honor,n./v.,honor- honor,榮譽; 尊敬; 尊敬,He received an honor.,They honored his memory.
hopeful,adj.,hope- hope; -ful full of,有希望的; 抱有希望的,He is hopeful about the future.,A hopeful sign.
horn,n.,horn- horn,角; 號角; 喇叭,The bull has sharp horns.,He blew the car horn.
horrible,adj.,horr- shudder; -ible capable of,可怕的; 糟糕的,He had a horrible dream.,The weather was horrible.
horror,n.,horr- shudder; -or- result,恐怖; 驚恐,He felt a sense of horror.,A horror movie.
hourly,adj./adv.,hour- hour; -ly like,每小時的; 每小時,He gets paid hourly.,An hourly rate.
housekeeper,n.,house- house; keep- keep; -er person,管家; 女管家,She works as a housekeeper.,A good housekeeper.
hug,n./v.,hug- embrace,擁抱; 緊抱; 擁抱,He gave her a hug.,She hugged him tightly.
hum,v.,hum- sound,哼唱; 嗡嗡作響,He hummed a tune.,The refrigerator hummed.
humid,adj.,humid- moist,潮溼的; 溼潤的,The weather is humid.,A humid climate.
humor,n.,humor- fluid,幽默; 情緒,He has a good sense of humor.,His humor brightened the mood.
humorous,adj.,humor- fluid; -ous full of,幽默的; 滑稽的,He told a humorous story.,A humorous person.
hunger,n.,hunger- hunger,飢餓; 渴望,He suffered from hunger.,A hunger for knowledge.
hut,n.,hut- small house,小屋; 棚屋,They lived in a small hut.,A log hut.
icy,adj.,ice- ice; -y full of,冰冷的; 結冰的,The road was icy.,Icy winds.
imagination,n.,im- in; -agin- imagine; -ation act/state of,想象力; 想象,He has a vivid imagination.,The power of imagination.
immediate,adj.,im- not; -medi- middle; -ate make/cause to be,立即的; 直接的,He needs immediate attention.,An immediate response.
import,n./v.,im- in; -port- carry,進口; 輸入; 進口,The country imports oil.,The import of goods.
impress,v.,im- in; -press- press,使印象深刻; 感動,His performance impressed the audience.,She was impressed by his talent.
indoor,adj.,in- in; door- door,室內的; 戶內的,Indoor sports are popular.,An indoor swimming pool.
indoors,adv.,in- in; door- door,在室內; 在屋裡,He stayed indoors.,They played indoors.
industrial,adj.,in- in; -dustr- build; -ial pertaining to,工業的; 產業的,The industrial revolution.,Industrial production.
inferior,adj./n.,in- in; -fer- carry; -ior- comparative,下級的; 劣等的; 下級,He felt inferior to his brother.,Inferior quality.
inform,v.,in- in; -form- form,通知; 告知,He informed her of the news.,Please inform me.
information,n.,in- in; -form- form; -ation act/state of,信息; 資料,He provided useful information.,Gather information.
injury,n.,in- in; -jur- swear; -y result of,傷害; 損害,He suffered a serious injury.,A sports injury.
inn,n.,inn- lodging,旅店; 客棧,They stayed at an inn.,A country inn.
inner,adj.,in- in; -er- comparative,內部的; 內心的,He has an inner strength.,Inner peace.
innocent,adj.,in- not; noc- harm; -ent being,無辜的; 清白的,He was found innocent.,An innocent child.
inspect,v.,in- in; -spect- look,檢查; 視察,He inspected the car.,The police inspected the scene.
inspector,n.,in- in; -spect- look; -or agent,檢查員; 督察,He works as an inspector.,A building inspector.
intelligent,adj.,inter- between; -lect- choose; -ent being,聰明的; 智能的,He is an intelligent person.,An intelligent machine.
interrupt,v.,inter- between; -rupt- break,打斷; 中斷,He interrupted her speech.,Don't interrupt me.
invent,v.,in- in; -vent- come,發明; 創造,He invented a new machine.,Who invented the telephone?
inventor,n.,in- in; -vent- come; -or agent,發明家; 創造者,He is a famous inventor.,The inventor of the light bulb.
investigate,v.,in- in; -vestig- track; -ate make/cause to be,調查; 研究,The police investigated the crime.,They investigated the cause of the accident.
invitation,n.,in- in; -vit- call; -ation act/state of,邀請; 請柬,He received an invitation to the party.,A wedding invitation.
ivory,n./adj.,ivory- elephant tusk,象牙; 象牙色的,The piano keys are made of ivory.,Ivory carvings.
jail,n./v.,jail- prison,監獄; 監禁; 監禁,He was sent to jail.,They jailed him for theft.
jar,n.,jar- vessel,罐子; 廣口瓶,She put jam in a jar.,A glass jar.
jaw,n.,jaw- mouth,下巴; 頜骨,He broke his jaw.,The jaw of a lion.
jazz,n.,jazz- music,爵士樂,He loves jazz music.,A jazz band.
jealous,adj.,jeal- zealous; -ous full of,嫉妒的; 羨慕的,He was jealous of her success.,She felt jealous.
jeep,n.,jeep- vehicle,吉普車,He drove a jeep.,A military jeep.
jelly,n.,jelly- gelatin,果凍; 膠狀物,She ate some jelly.,Peanut butter and jelly.
jet,n./v.,jet- throw,噴氣式飛機; 噴射; 噴射,A jet plane flew overhead.,Water jetted from the hose.
jewel,n.,jewel- ornament,珠寶; 寶石,She wore a beautiful jewel.,A crown adorned with jewels.
jewelry,n.,jewel- ornament; -ry result of,珠寶; 首飾,She loves wearing jewelry.,A jewelry store.
journey,n./v.,journ- day,旅行; 旅程; 旅行,He went on a long journey.,They journeyed across the desert.
joyful,adj.,joy- joy; -ful full of,快樂的; 愉快的,He had a joyful expression.,A joyful occasion.
juicy,adj.,juice- juice; -y full of,多汁的; 汁液豐富的,The orange was juicy.,Juicy fruit.
jungle,n.,jungle- forest,叢林; 密林,They explored the jungle.,A dense jungle.
junior,adj./n.,jun- young; -ior- comparative,年少的; 下級的; 年少者,He is a junior student.,A junior partner.
junk,n./v.,junk- old rope,垃圾; 廢品; 丟棄,He threw away the junk.,Junk food.
kangaroo,n.,kangaroo- animal,袋鼠,Kangaroos live in Australia.,A baby kangaroo.
keyboard,n.,key- key; board- board,鍵盤; 琴鍵,He typed on the keyboard.,A computer keyboard.
kidney,n.,kidney- organ,腎; 腎臟,He has kidney problems.,Kidney beans.
kilometer,n.,kilo- thousand; meter- measure,公里; 千米,The distance is 10 kilometers.,A kilometer is 1000 meters.
kindergarten,n.,kinder- children; garten- garden,幼兒園,She goes to kindergarten.,A kindergarten teacher.
kingdom,n.,king- king; -dom state/quality,王國; 領域,The United Kingdom.,The animal kingdom.
kit,n.,kit- container,成套工具; 配套元件,He bought a first aid kit.,A model kit.
knight,n.,knight- servant,騎士; 武士,He was a brave knight.,A knight in shining armor.
knit,v./n.,knit- tie,編織; 針織; 編織物,She knitted a sweater.,A knitted scarf.
knot,n./v.,knot- tie,結; 疙瘩; 打結,He tied a knot in the rope.,The rope was full of knots.
koala,n.,koala- animal,考拉; 樹袋熊,Koalas live in Australia.,A cute koala.
label,n./v.,label- strip,標籤; 標記; 貼標籤,He put a label on the box.,She labeled the files.
lace,n./v.,lace- snare,花邊; 鞋帶; 繫帶,She wore a dress with lace.,He tied his shoelaces.
ladder,n.,ladder- steps,梯子; 階梯,He climbed up the ladder.,A step ladder.
lately,adv.,late- late; -ly in a manner,最近; 近來,He has been busy lately.,I haven't seen him lately.
laughter,n.,laugh- laugh; -ter- result,笑聲; 笑,He heard laughter from the other room.,Her laughter was infectious.
laundry,n.,laund- wash; -ry result of,洗衣店; 洗衣物,She did the laundry.,A laundry basket.
lawn,n.,lawn- grass,草坪; 草地,He mowed the lawn.,A green lawn.
leak,n./v.,leak- drip,洩漏; 漏洞; 洩漏,There is a leak in the pipe.,The secret leaked out.
leap,n./v.,leap- jump,跳躍; 飛躍; 跳,He took a leap of faith.,The cat leaped onto the table.
learning,n.,learn- learn; -ing act/state of,學習; 學問,He has a passion for learning.,Lifelong learning.
leather,n.,leather- skin,皮革; 皮革製品,The jacket is made of leather.,Leather shoes.
leisure,n.,leisure- freedom,休閒; 閒暇,He enjoys his leisure time.,Leisure activities.
lemonade,n.,lemon- lemon; -ade- drink,檸檬水,She drank a glass of lemonade.,Homemade lemonade.
leopard,n.,leopard- spotted cat,豹; 美洲豹,The leopard has spots.,A fast leopard.
lettuce,n.,lettuce- plant,生菜; 萵苣,She made a salad with lettuce.,A head of lettuce.
liberty,n.,liber- free; -ty state/quality,自由; 自主,He fought for liberty.,The Statue of Liberty.
lick,v./n.,lick- taste,舔; 舔舐; 舔,The dog licked his hand.,She gave the ice cream a lick.
lifetime,n.,life- life; time- time,一生; 終身,He spent his lifetime working.,A lifetime achievement award.
lighthouse,n.,light- light; house- house,燈塔,The lighthouse guided the ships.,A tall lighthouse.
lightning,n.,light- light; -ning- act,閃電,A flash of lightning.,Lightning struck the tree.
lily,n.,lily- flower,百合花,She picked a lily.,A white lily.
limb,n.,limb- branch,肢體; 樹枝,He broke a limb.,The limbs of a tree.
litter,n./v.,litter- scattered,垃圾; 雜物; 亂扔垃圾,Don't litter.,The street was covered in litter.
lively,adj.,live- live; -ly like,活潑的; 生動的,She is a lively child.,A lively discussion.
loaf,n.,loaf- bread,麵包; 一條麵包,He bought a loaf of bread.,A loaf of white bread.
lobby,n.,lobby- hall,大廳; 休息室; 遊說,He waited in the hotel lobby.,The lobby of the theater.
locate,v.,loc- place; -ate make/cause to be,定位; 找出; 位於,They located the missing child.,The office is located downtown.
location,n.,loc- place; -ation act/state of,位置; 地點,The location of the meeting.,A secret location.
lock,n./v.,lock- fasten,鎖; 鎖住; 鎖,He locked the door.,The lock is broken.
log,n./v.,log- wood,原木; 日誌; 記錄,He chopped wood for the fire.,He kept a log of his activities.
lollipop,n.,lolly- tongue; pop- pop,棒棒糖,The child ate a lollipop.,A cherry lollipop.
loose,adj.,loose- free,松的; 寬鬆的,His shoelaces are loose.,Loose clothing.
lord,n.,lord- master,領主; 貴族; 上帝,The lord of the manor.,Lord Byron.
loser,n.,lose- lose; -er person,失敗者; 輸家,He is a bad loser.,Don't be a loser.
lover,n.,love- love; -er person,愛人; 情人,He is her lover.,A passionate lover.
luggage,n.,lug- carry; -age act/state of,行李; 包裹,He carried his luggage.,Lost luggage.
lung,n.,lung- organ,肺; 肺臟,He has healthy lungs.,Lung cancer.
magical,adj.,mag- great; -ic- pertaining to; -al pertaining to,神奇的; 有魔力的,He performed a magical trick.,A magical experience.
magician,n.,mag- great; -ic- pertaining to; -ian person,魔術師; 巫師,The magician pulled a rabbit out of a hat.,A powerful magician.
magnet,n.,magn- great; -et- iron,磁鐵; 磁石,The magnet attracted the metal.,A strong magnet.
maid,n.,maid- girl,女僕; 侍女,She works as a maid.,A housemaid.
majority,n.,major- greater; -ity state/quality,多數; 大部分,The majority of people agree.,A clear majority.
mall,n.,mall- mallet,購物中心; 林蔭道,They went to the mall.,A shopping mall.
mankind/humankind,n.,man- man; kind- kind,人類; 人類,The future of mankind.,The history of humankind.
marble,n.,mar- shine,大理石; 彈珠,The statue is made of marble.,He played with marbles.
march,n./v.,march- walk,行進; 遊行; 行進,They marched in protest.,A protest march.
marker,n.,mark- mark; -er person,記號筆; 標誌,He used a marker to write on the board.,A permanent marker.
marvelous,adj.,marvel- wonder; -ous full of,奇妙的; 了不起的,He had a marvelous time.,A marvelous idea.
mathematical,adj.,math- learn; -ic- pertaining to; -al pertaining to,數學的; 數學上的,He has mathematical skills.,Mathematical equations.
mayor,n.,major- greater,市長,He is the mayor of the city.,The mayor's office.
meadow,n.,mead- grass,草地; 牧場,The cows grazed in the meadow.,A green meadow.
meaningful,adj.,mean- mean; -ing act/state of; -ful full of,有意義的; 意味深長的,He had a meaningful conversation.,A meaningful life.
meanwhile,n./adv.,mean- middle; while- time,同時; 其間,"Meanwhile, I'll wait.","He worked; meanwhile, she rested."
medal,n.,med- middle,獎章; 勳章,He won a gold medal.,An Olympic medal.
medium/media,n.,medi- middle,媒介; 媒體; 中等的,He works in the media.,Social media.
melon,n.,melon- fruit,瓜; 甜瓜,She ate a slice of melon.,Watermelon.
melt,v.,melt- dissolve,融化; 熔化,The ice melted.,The snow melted.
mend,v.,mend- repair,修補; 改善,He mended his clothes.,She mended her ways.
mental,adj.,ment- mind; -al pertaining to,精神的; 心理的,He has mental health problems.,Mental illness.
merry,adj.,merry- joyful,愉快的; 歡樂的,Merry Christmas!,A merry tune.
mess,n./v.,mess- mix,混亂; 髒亂; 弄亂,His room is a mess.,Don't mess with me.
microphone/mike,n.,micro- small; phone- sound,麥克風; 話筒,He spoke into the microphone.,A wireless microphone.
microwave,n./v.,micro- small; wave- wave,微波爐; 微波; 微波加熱,She heated her food in the microwave.,He microwaved the popcorn.
mighty,adj.,might- power; -y full of,強大的; 巨大的,He is a mighty warrior.,A mighty oak tree.
minus,prep./n./adj.,minus- less,減去; 負數; 負的,Five minus two is three.,Minus five degrees.
miracle,n.,mir- wonder,奇蹟; 奇蹟,He believes in miracles.,It was a miracle.
misery,n.,miser- wretched; -y result of,痛苦; 悲慘,He lived in misery.,The misery of war.
missile,n.,miss- send; -ile pertaining to,導彈; 投擲物,The missile hit the target.,A guided missile.
missing,adj.,miss- miss; -ing present participle,失蹤的; 缺失的,He is missing.,A missing piece.
mission,n.,miss- send; -ion act/state of,任務; 使命,He was on a secret mission.,A space mission.
mist,n./v.,mist- fog,薄霧; 迷濛; 蒙上薄霧,The mountains were covered in mist.,His eyes misted over.
mob,n./v.,mob- crowd,暴民; 烏合之眾; 圍攻,The mob attacked the police.,They mobbed the celebrity.
mobile,adj.,mobil- move; -ile pertaining to,可移動的; 流動的,A mobile phone.,Mobile homes.
moist,adj.,moist- wet,潮溼的; 溼潤的,The cake was moist.,Moist air.
moisture,n.,moist- wet; -ure act/state of,水分; 溼氣,The plant needs moisture.,Retain moisture.
monk,n.,mon- one,僧侶; 和尚,He is a Buddhist monk.,A Shaolin monk.
monster,n.,monstr- warn,怪物; 妖怪,He saw a monster in his dream.,A sea monster.
monthly,adj./adv./n.,month- month; -ly like,每月的; 每月; 月刊,He receives a monthly salary.,A monthly magazine.
moral,adj./n.,mor- custom; -al pertaining to,道德的; 倫理的; 道德,He has high moral standards.,The moral of the story.
mosquito,n.,mosquit- fly,蚊子,A mosquito bit him.,Mosquito repellent.
mostly,adv.,most- most; -ly in a manner,主要地; 大部分,He is mostly interested in sports.,It's mostly sunny.
motel,n.,motor- motor; hotel- hotel,汽車旅館,They stayed at a motel.,A roadside motel.
moth,n.,moth- insect,蛾; 蛀蟲,A moth flew into the light.,Moth-eaten clothes.
motor,n.,motor- move,發動機; 馬達,The car's motor is broken.,An electric motor.
multiply,v.,multi- many; -ply- fold,乘; 繁殖; 增加,Multiply three by four.,Rabbits multiply quickly.
murder,n./v.,mur- kill; -der- kill,謀殺; 兇殺; 謀殺,He was charged with murder.,He murdered his wife.
muscle,n.,mus- mouse,肌肉; 力量,He has strong muscles.,Muscle pain.
mushroom,n./v.,mush- soft; room- room,蘑菇; 迅速增長,She picked some mushrooms.,The town mushroomed.
mystery,n.,myst- secret; -ery result of,神秘; 謎,The mystery of the missing jewels.,A detective mystery.
naked,adj.,naked- bare,赤裸的; 裸體的,He was naked.,A naked truth.
nap,n./v.,nap- sleep,小睡; 打盹; 小睡,He took a nap.,She napped for an hour.
napkin,n.,nap- cloth,餐巾; 紙巾,He wiped his mouth with a napkin.,A paper napkin.
native,adj./n.,nat- born; -ive tending to,本地的; 本土的; 本地人,He is a native of France.,Native Americans.
navy,n.,nav- ship,海軍; 海軍藍,He joined the navy.,The US Navy.
neat,adj.,neat- clean,整潔的; 整齊的,His room is always neat.,A neat handwriting.
necessity,n.,ne- not; -cess- go; -ity state/quality,必需品; 必要性,Food is a necessity.,The necessity of change.
necktie,n.,neck- neck; tie- tie,領帶; 領結,He wore a necktie.,A silk necktie.
neighborhood,n.,neigh- near; -bor- dwell; -hood state/quality,鄰里; 街區,He lives in a quiet neighborhood.,A friendly neighborhood.
nest,n./v.,nest- bed,巢; 窩; 築巢,The bird built a nest.,The birds nested in the tree.
nickname,n./v.,nick- cut; name- name,綽號; 暱稱; 給...起綽號,His nickname is "Tiny".,They nicknamed him "Speedy".
normal,adj.,norm- rule/pattern; -al pertaining to,正常的; 標準的,His temperature is normal.,A normal day.
novelist,n.,nov- new; -el- small; -ist person,小說家,He is a famous novelist.,A best-selling novelist.
nun,n.,nun- religious woman,修女; 尼姑,She is a nun.,A Catholic nun.
oak,n.,oak- tree,橡樹,The table is made of oak.,An oak tree.
observe,v.,ob- to/toward; -serv- watch,觀察; 遵守,He observed the stars.,They observed the rules.
occasion,n.,oc- to/toward; -cas- fall; -ion act/state of,場合; 時機; 盛會,"On this occasion, I would like to thank you.",A special occasion.
odd,adj.,odd- uneven,奇怪的; 奇數的,He has an odd habit.,An odd number.
omit,v.,o- out; -mit- send,省略; 遺漏,He omitted a word from the sentence.,She omitted to mention it.
ongoing,adj.,on- on; go- go; -ing present participle,正在進行的; 持續的,The project is ongoing.,Ongoing research.
onion,n.,onion- bulb,洋蔥,She chopped an onion.,A red onion.
onto,prep.,on- on; to- to,到...上面; 登上,He jumped onto the stage.,She put the book onto the table.
operation,n.,oper- work; -ation act/state of,手術; 操作; 運作,He underwent a major operation.,The operation of the machine.
