單字,詞性,詞根,中文解釋,例句1,例句2
foreigner,n.,for- outside; -eign- born; -er person,外國人; 異鄉人,He is a foreigner.,Many foreigners live in the city.
forget,v.,for- away; get- get,忘記; 遺忘,He forgot her name.,Don't forget.
fork,n.,fork- tool,叉子; 分叉,He ate with a fork.,The road forked.
free,adj./v./adv.,free- not bound,自由的; 免費的; 釋放; 免費地,He is a free man.,The concert is free.
fresh,adj.,fresh- new,新鮮的; 清新的,Fresh air is good for you.,Fresh fruit.
friend,n.,friend- companion,朋友; 友人,He has many friends.,My best friend.
friendly,adj.,friend- friend; -ly like,友好的; 親切的,He is a friendly person.,A friendly smile.
frog,n.,frog- amphibian,青蛙,A frog jumped into the pond.,Green frog.
from,prep.,from- origin,從; 來自,He is from London.,From now on.
front,adj./n.,front- face,前面的; 前面; 前線,The front door.,He stood in front of the house.
fruit,n.,fruit- produce,水果; 果實,He ate some fruit.,Fresh fruit.
full,adj.,full- complete,滿的; 飽的; 充分的,The glass is full.,He is full.
fun,n.,fun- enjoyment,樂趣; 娛樂,He had a lot of fun.,It's fun to play games.
funny,adj.,fun- fun; -y full of,有趣的; 滑稽的,He told a funny joke.,A funny story.
future,n./adj.,fut- be; -ure act/state of,未來; 將來; 未來的,He plans for the future.,The future generation.
game,n.,game- play,遊戲; 比賽,He plays computer games.,A football game.
garden,n./v.,garden- enclosure,花園; 菜園; 園藝,He works in the garden.,She gardens.
gate,n.,gate- opening,大門; 門口,He opened the gate.,The garden gate.
get,v.,get- obtain,得到; 獲得; 變成,He got a new car.,He got tired.
ghost,n.,ghost- spirit,鬼; 幽靈,He believes in ghosts.,A haunted house.
giant,adj./n.,giant- huge,巨大的; 巨人,He is a giant man.,A giant tree.
gift,n.,gift- present,禮物; 天賦,He received a gift.,She has a gift for music.
girl,n.,girl- female child,女孩; 姑娘,She is a good girl.,A young girl.
give,v.,give- bestow,給; 贈送,Give me a pen.,He gave her a gift.
glad,adj.,glad- happy,高興的; 樂意的,I'm glad to see you.,He was glad to help.
glass,n.,glass- material,玻璃; 玻璃杯,The window is made of glass.,He drank a glass of water.
glasses,n.,glass- glass,眼鏡,He wears glasses.,A pair of glasses.
glove(s),n.,glove- hand covering,手套,He wore gloves.,A pair of gloves.
go,v./n.,go- move,去; 走; 嘗試,He went home.,Let's go.
god/goddess,n.,god- deity,神; 女神,He believes in God.,The Greek gods.
good,adj./adv./n.,good- excellent,好的; 好地; 好處,He is a good student.,He did well.
goodbye,n.,good- good; bye- by,再見; 告別,He said goodbye.,A quick goodbye.
grade,n./v.,grad- step,年級; 分數; 評分,He is in the fifth grade.,He got a good grade.
grandfather,n.,grand- great; father- father,祖父; 外祖父,My grandfather is old.,His grandfather is kind.
grandmother,n.,grand- great; mother- mother,祖母; 外祖母,My grandmother is kind.,Her grandmother is wise.
grass,n.,grass- plant,草; 草地,The grass is green.,He walked on the grass.
gray,adj./n./v.,gray- color,灰色的; 灰色; 變灰,His hair is gray.,The color gray.
great,adj./n.,great- large,大的; 偉大的; 偉大,He is a great man.,A great idea.
green,adj./n./v.,green- color,綠色的; 綠色; 變綠,The leaves are green.,The color green.
ground,n./v.,ground- earth,地面; 土地; 磨碎,He sat on the ground.,He ground the coffee beans.
group,n./v.,group- cluster,團體; 群體; 分組,He belongs to a group.,They grouped together.
grow,v.,grow- increase,生長; 種植; 發展,The plants grow fast.,He grows vegetables.
guess,v./n.,guess- estimate,猜測; 猜想; 猜測,Guess what?,He made a guess.
guitar,n.,guitar- instrument,吉他,He plays the guitar.,A classical guitar.
guy,n.,guy- man,傢伙; 小夥子,He is a nice guy.,"Hey, guys!"
habit,n.,habit- custom,習慣; 習性,He has a good habit.,A bad habit.
hair,n.,hair- filament,頭髮; 毛髮,She has long hair.,Brown hair.
half,n./adv./adj.,half- middle,一半; 半; 一半的,He ate half of the apple.,Half an hour.
ham,n.,ham- pork,火腿,He ate a ham sandwich.,Sliced ham.
hand,n./v.,hand- limb,手; 幫助; 遞給,He raised his hand.,Hand me the book.
hang,v.,hang- suspend,懸掛; 吊; 絞死,He hung his coat.,The picture hangs on the wall.
happen,v.,hap- chance; -en make,發生; 碰巧,What happened?,It happened by chance.
happy,adj.,hap- chance; -y full of,快樂的; 幸福的,He is a happy person.,A happy family.
hard,adj./adv.,hard- firm,硬的; 困難的; 努力地,The table is hard.,He works hard.
hat,n.,hat- head covering,帽子,He wore a hat.,A straw hat.
hate,v./n.,hate- dislike,恨; 憎恨; 仇恨,He hates her.,She has a strong hate for him.
have,aux./v.,have- possess,有; 擁有; 吃,I have a car.,He has eaten.
"he (him, his, himself)",pron.,he- male,他; 他的; 他自己,He is my friend.,I saw him.
head,n./v.,head- top,頭; 頭部; 領導; 前進,He has a big head.,He headed the committee.
headache,n.,head- head; ache- pain,頭痛,He has a headache.,A bad headache.
health,n.,heal- whole; -th quality,健康; 衛生,He has good health.,Public health.
healthy,adj.,health- health; -y full of,健康的; 有益健康的,He is a healthy person.,Healthy food.
hear,v.,hear- perceive sound,聽; 聽到,I can hear you.,He heard a noise.
heart,n.,heart- organ,心; 心臟; 感情,He has a kind heart.,My heart is beating fast.
heat,n./v.,heat- warmth,熱; 熱量; 加熱,The heat of the sun.,He heated the water.
heavy,adj.,heavy- weighty,重的; 沉重的,The box is heavy.,A heavy rain.
height,n.,high- high; -th quality,高度; 身高,What is your height?,The height of the building.
hello,n.,hello- greeting,你好; 喂,He said hello.,Say hello to her.
help,v./n.,help- assist,幫助; 援助; 幫助,Can I help you?,He needs help.
helpful,adj.,help- help; -ful full of,有幫助的; 有益的,He is a helpful person.,Helpful advice.
hen,n.,hen- female chicken,母雞,The hen laid an egg.,A fat hen.
here,adv./n.,here- this place,這裡; 在這裡; 這裡,Come here!,He lives here.
hide,v.,hide- conceal,隱藏; 躲藏,He hid the money.,She hid behind the tree.
high,adj./adv./n.,high- tall,高的; 高地; 高處,The mountain is high.,He jumped high.
hill,n.,hill- mound,小山; 丘陵,He climbed the hill.,A green hill.
history,n.,hist- history; -ory- result,歷史; 史學,He studies history.,World history.
hit,v./n.,hit- strike,打; 擊中; 擊中,He hit the ball.,A big hit.
hobby,n.,hobby- pastime,愛好; 嗜好,His hobby is reading.,A favorite hobby.
hold,v./n.,hold- grasp,拿著; 握住; 保持; 握住,He held her hand.,Hold on tight.
holiday,n.,holy- holy; day- day,假日; 節日,He went on holiday.,A public holiday.
home,n./adv./v./adj.,home- dwelling,家; 家裡; 回家; 家的,He went home.,He is at home.
homework,n.,home- home; work- work,家庭作業; 功課,He did his homework.,Finish your homework.
honest,adj.,honest- truthful,誠實的; 正直的,He is an honest person.,An honest answer.
honey,n.,honey- sweet,蜂蜜; 親愛的,He put honey in his tea.,My honey.
hope,v./n.,hope- wish,希望; 期望; 希望,I hope you are well.,He has hope.
horse,n.,horse- animal,馬,He rode a horse.,A white horse.
hospital,n.,hospit- guest; -al- place,醫院,He went to the hospital.,A general hospital.
hot,adj.,hot- high temperature,熱的; 辣的,The weather is hot.,Hot coffee.
hotel,n.,hotel- lodging,旅館; 酒店,He stayed at a hotel.,A luxury hotel.
hour,n.,hour- time,小時; 鐘頭,He worked for an hour.,An hour later.
house,n./v.,house- dwelling,房子; 住宅; 居住,He lives in a house.,She housed the refugees.
housewife,n.,house- house; wife- wife,家庭主婦,She is a housewife.,A busy housewife.
how,adv.,how- in what way,怎樣; 如何,How are you?,How old are you?
however,adv.,how- how; ever- ever,然而; 可是,"He was tired; however, he continued.","However, I disagree."
hundred,n./adj.,hundred- number,一百; 一百個,One hundred dollars.,A hundred people.
hungry,adj.,hunger- hunger; -y full of,飢餓的; 渴望的,He is hungry.,I'm hungry.
hurt,v./n.,hurt- injure,傷害; 疼痛; 傷害,He hurt his leg.,My arm hurts.
husband,n.,husband- master,丈夫,She loves her husband.,My husband is kind.
"I (me, my, mine, myself)",pron.,I- first person,我; 我的; 我自己,I am a student.,He saw me.
ice,n.,ice- frozen water,冰; 冰塊,He put ice in his drink.,Ice cream.
idea,n.,ide- idea,主意; 想法; 概念,He had a good idea.,A brilliant idea.
if,conj.,if- condition,如果; 是否,"If it rains, I will stay home.",I don't know if he will come.
important,adj.,im- in; -port- carry; -ant being,重要的; 關鍵的,Education is important.,An important decision.
in,prep./adv./adj.,in- inside,在...裡面; 在裡面; 在家的,He is in the room.,Come in.
inch,n.,inch- unit,英寸,The ruler is 12 inches long.,One inch.
insect,n.,in- in; -sect- cut,昆蟲; 蟲子,An insect crawled on the floor.,A small insect.
inside,prep./adv./n./adj.,in- in; side- side,在...裡面; 在裡面; 內部; 內部的,He is inside the house.,Come inside.
interest,n./v.,inter- between; -est- be,興趣; 利益; 使感興趣,He has an interest in music.,The book interests me.
interested,adj.,inter- between; -est- be; -ed past participle,感興趣的; 關心的,He is interested in history.,She is interested in art.
interesting,adj.,inter- between; -est- be; -ing present participle,有趣的; 引人入勝的,The book is interesting.,An interesting story.
interview,n./v.,inter- between; -view- see,採訪; 面試; 採訪,He had a job interview.,She interviewed him.
into,prep.,in- in; to- to,進入; 變成,He went into the room.,The water turned into ice.
invite,v.,in- in; -vit- call,邀請; 招致,He invited her to the party.,She invited him for dinner.
island,n.,isol- island,島; 島嶼,He lives on an island.,A tropical island.
"it (its, itself)",pron.,it- third person,它; 它的; 它自己,It is a book.,Its color is red.
item,n.,item- article,項目; 物品,He bought several items.,A list of items.
jacket,n.,jack- coat,夾克; 短上衣,He wore a jacket.,A leather jacket.
jeans,n.,jean- fabric,牛仔褲,She wore jeans.,Blue jeans.
job,n.,job- task,工作; 職業,He has a good job.,A part-time job.
join,v./n.,join- connect,加入; 連接; 連接,He joined the club.,The two pieces joined.
joke,n./v.,joke- jest,笑話; 玩笑; 開玩笑,He told a joke.,Don't joke with me.
joy,n.,joy- happiness,歡樂; 喜悅,He felt great joy.,The joy of success.
juice,n.,juice- liquid,果汁; 汁液,He drank some orange juice.,Fresh juice.
jump,v./n.,jump- leap,跳; 跳躍; 跳躍,He jumped over the fence.,A long jump.
just,adv./adj.,just- right,只是; 僅僅; 公正的,He just left.,It's just a joke.
keep,v./n.,keep- hold,保持; 保留; 飼養; 保持,He kept his promise.,Keep quiet.
key,adj./n./v.,key- lock,關鍵的; 鑰匙; 鍵; 鎖定,He lost his key.,The key to success.
kick,v./n.,kick- strike,踢; 踢; 踢,He kicked the ball.,A strong kick.
kid,n./v.,kid- child,小孩; 小山羊; 戲弄,He is a good kid.,Don't kid me.
kill,v./n.,kill- slay,殺死; 殺害; 殺戮,He killed the snake.,The kill was quick.
kind,adj./n.,kind- type,善良的; 友好的; 種類,He is a kind person.,What kind of music do you like?
king,n.,king- ruler,國王; 君主,The king ruled the country.,A powerful king.
kiss,n./v.,kiss- touch,吻; 親吻; 親吻,He gave her a kiss.,She kissed him.
kitchen,n.,kitchen- room,廚房,She cooked in the kitchen.,A modern kitchen.
kite,n.,kite- bird,風箏; 鳶,He flew a kite.,A colorful kite.
knee,n./v.,knee- joint,膝蓋; 跪下,He hurt his knee.,She knelt down.
knife,n./v.,knife- tool,刀; 刀子; 用刀切,He cut the bread with a knife.,A sharp knife.
knock,v./n.,knock- strike,敲; 擊打; 敲門聲,He knocked on the door.,A loud knock.
know,v.,know- perceive,知道; 瞭解,I know him.,Do you know the answer?
knowledge n.,know- know; -ledge- knowledge,知識; 學問,He has a lot of knowledge.,The pursuit of knowledge.,
lake,n.,lake- body of water,湖; 湖泊,He swam in the lake.,A beautiful lake.
lamp,n.,lamp- light,燈; 燈具,He turned on the lamp.,A table lamp.
land,n./v.,land- earth,土地; 陸地; 登陸,He owns a lot of land.,The plane landed safely.
language,n.,lingu- tongue; -age act/state of,語言; 語言文字,He speaks three languages.,The English language.
large,adj.,large- big,大的; 巨大的,He has a large house.,A large family.
last,n./v./adv./adj.,last- final,最後; 持續; 最後地; 最後的,He was the last one to leave.,The movie lasted two hours.
late,adj./adv.,late- delayed,遲的; 晚的; 遲地,He was late for school.,He arrived late.
later,adv.,late- late; -er- comparative,後來; 稍後,He will come later.,See you later.
laugh,v./n.,laugh- sound,笑; 嘲笑; 笑聲,He laughed loudly.,She heard a laugh.
lawyer,n.,law- law; -yer- person,律師,He works as a lawyer.,A good lawyer.
lazy,adj.,lazy- idle,懶惰的; 懶散的,He is a lazy student.,A lazy cat.
lead,v./n.,lead- guide,領導; 引導; 鉛,He led the team.,The leader of the group.
leader,n.,lead- guide; -er person,領導者; 領袖,He is a good leader.,A strong leader.
learn,v.,learn- acquire knowledge,學習; 學會,He learns fast.,She learned to swim.
least,adv./pron./adj.,less- less; -est- superlative,最少; 最少; 最少的,At least 10 people.,He has the least money.
leave,v./n.,leave- depart,離開; 留下; 假期,He left home.,He took a leave of absence.
left,adj./n./adv.,left- opposite of right,左邊的; 左邊; 向左,He turned left.,On the left.
leg,n.,leg- limb,腿; 支柱,He broke his leg.,The leg of a table.
lemon,n.,lemon- fruit,檸檬,She put lemon in her tea.,A sour lemon.
less,pron./adv./adj./prep.,less- smaller,更少; 更少; 更少的; 減去,He has less money.,Less than 10.
lesson,n.,less- smaller; -on- act,課程; 教訓,He learned a lesson.,A history lesson.
let,v.,let- allow,讓; 允許,Let me go.,Let's go.
letter,n.,letter- written symbol,信; 字母,He wrote a letter.,The letter A.
level,n./adj.,level- flat,水平; 等級; 水平的,The water level is high.,A high level of education.
library,n.,libr- book; -ary- place,圖書館,He borrowed a book from the library.,A public library.
lie,v./n.,lie- recline,躺; 撒謊; 謊言,He lay on the bed.,He told a lie.
life,n.,life- existence,生命; 生活,He lives a happy life.,The meaning of life.
light,n./adj./v./adv.,light- illumination,光; 燈; 輕的; 點燃; 輕地,The light is on.,The box is light.
like,prep./v./n.,like- similar,像; 喜歡; 愛好,He is like his father.,I like pizza.
line,n./v.,line- row,線; 行; 排隊,He drew a line.,Stand in line.
lion,n.,lion- animal,獅子,The lion roared.,A wild lion.
lip,n.,lip- edge,嘴唇,She has red lips.,His upper lip.
list,n./v.,list- roll,清單; 列表; 列出,He made a list.,List the items.
listen,v.,listen- hear,聽; 傾聽,He listened to music.,Listen carefully.
little,adj./adv./n.,little- small,小的; 少量; 少量,He has a little money.,A little boy.
live,v./adj.,live- exist,居住; 活著; 活的,He lives in London.,A live concert.
lonely,adj.,lone- alone; -ly like,孤獨的; 寂寞的,He felt lonely.,A lonely road.
long,adj./adv./v.,long- extended,長的; 長久地; 渴望,He has long hair.,He waited long.
look,v./n.,look- see,看; 看起來; 外表,Look at me!,He has a good look.
lose,v.,lose- misplace,失去; 輸掉,He lost his keys.,He lost the game.
lot,n.,lot- share,許多; 大量,He has a lot of money.,A lot of people.
loud,adv./adj.,loud- noisy,大聲地; 大聲的,He spoke loudly.,A loud noise.
love,n./v.,love- affection,愛; 愛情; 愛,He loves her.,His love for her.
lovely,adj.,love- love; -ly like,可愛的; 美麗的,She has a lovely smile.,A lovely day.
low,adj./adv./n.,low- not high,低的; 低地; 低點,The price is low.,He spoke in a low voice.
lucky,adj.,luck- luck; -y full of,幸運的; 僥倖的,He is a lucky man.,A lucky charm.
lunch,n./v.,lunch- meal,午餐; 吃午餐,He ate lunch.,She had lunch.
machine,n./v.,machin- machine,機器; 機械; 用機器製造,The machine is broken.,He machined the part.
mad,adj.,mad- insane,瘋狂的; 生氣的,He is mad at her.,A mad dog.
magic,adj./n.,mag- great; -ic pertaining to,魔術的; 魔法; 魔術,He performed a magic trick.,Black magic.
mail,n./v.,mail- letter,郵件; 郵寄; 郵寄,He sent a mail.,She mailed the letter.
main,adj./n.,main- chief,主要的; 主要部分,The main reason.,The main street.
make,v.,make- create,做; 製造; 使得,He made a cake.,She made him happy.
man,n./v.,man- male adult,男人; 人類; 配備人員,He is a good man.,Man the boats.
many,adj./pron.,many- numerous,許多的; 許多,He has many books.,Many people.
map,n./v.,map- chart,地圖; 繪製地圖,He looked at the map.,She mapped out her plan.
mark,n./v.,mark- sign,標記; 痕跡; 標記,He made a mark on the paper.,Mark your answer.
market,n./v.,market- trade,市場; 行情; 銷售,He went to the market.,They marketed their products.
married,adj.,marry- marry; -ed past participle,已婚的; 結婚的,He is married.,She is married to him.
mathematics/math,n.,math- learn; -ic- pertaining to; -s- plural,數學,He studies mathematics.,He is good at math.
matter,n./v.,matter- substance,事情; 問題; 要緊,What's the matter?,It doesn't matter.
may,aux.,may- possibility,可能; 可以,It may rain.,May I come in?
maybe,adv.,may- may; be- be,也許; 可能,Maybe he will come.,Maybe not.
meal,n.,meal- food,餐; 飯,He ate a meal.,A delicious meal.
mean,v./adj.,mean- intend,意味著; 打算; 刻薄的,What do you mean?,He is a mean person.
meat,n.,meat- flesh,肉; 肉類,He ate some meat.,Red meat.
media,n.,medi- middle,媒體; 媒介,The news media.,Social media.
medicine,n.,medic- heal; -ine- substance,藥; 醫藥,He took some medicine.,Medical science.
medium,adj.,medi- middle,中等的; 中號的,He ordered a medium pizza.,A medium size.
meet,v.,meet- encounter,遇見; 會面,He met her yesterday.,Let's meet.
meeting,n.,meet- meet; -ing act/state of,會議; 會面,He attended a meeting.,A business meeting.
member,n.,member- part,成員; 會員,He is a member of the club.,A family member.
menu,n.,menu- list,菜單,He looked at the menu.,A restaurant menu.
middle,adj./n.,mid- middle,中間的; 中間,The middle of the road.,In the middle.
milk,n.,milk- liquid,牛奶; 奶,He drank some milk.,Fresh milk.
million,n.,mill- thousand; -ion- large number,百萬,One million dollars.,Several million people.
mind,n./v.,mind- intellect,頭腦; 想法; 介意,He has a good mind.,Do you mind?
mine,n./v.,mine- my,礦; 礦山; 挖礦,He works in a mine.,This book is mine.
minute,n.,min- small,分鐘; 片刻,He waited for a minute.,Five minutes.
miss,v./n.,miss- fail,錯過; 想念; 小姐,He missed the bus.,I miss you.
mistake,n./v.,mis- wrong; take- take,錯誤; 弄錯,He made a mistake.,Don't mistake me.
modern,adj.,mod- measure; -ern- pertaining to,現代的; 近代的,Modern art is popular.,A modern city.
moment,n.,mov- move; -ment result of,片刻; 瞬間,He waited for a moment.,A special moment.
money,n.,money- coin,錢; 貨幣,He has a lot of money.,Save money.
monkey,n.,monkey- animal,猴子,A monkey climbed the tree.,A playful monkey.
month,n.,month- moon,月; 月份,He works for a month.,Next month.
moon,n.,moon- satellite,月亮; 月球,The moon shines brightly.,The full moon.
more,adj./pron./adv.,more- greater,更多的; 更多; 更,He has more books.,More than 10.
morning,n.,morn- morning; -ing act/state of,早晨; 上午,Good morning.,He wakes up early in the morning.
most,adv./pron./adj.,most- greatest,最; 大部分; 大部分的,He is the most intelligent student.,Most people agree.
mother,n.,mother- female parent,母親; 媽媽,My mother is kind.,A loving mother.
mountain,n.,mount- mountain,山; 山脈,He climbed the mountain.,A high mountain.
mouse,n.,mouse- rodent,老鼠; 鼠標,A mouse ran across the floor.,A computer mouse.
move(ment),v./(n.),mov- move; -ment result of,移動; 搬家; 動作,He moved to London.,He made a sudden movement.
movie/film,n.,mov- move; -ie- small,電影; 影片,He watched a movie.,A good film.
Mr./Mister,n.,Mr.- master,先生,Mr. Smith is here.,"Good morning, Mister."
Mrs.,n.,Mrs.- mistress,夫人; 太太,Mrs. Smith is here.,Good evening
Ms.,n.,Ms.- mistress,女士,Ms. Smith is here.,Good afternoon
much,adj./pron./adv.,much- great,許多的; 許多; 很多,He has much money.,Thank you very much.
mud,n.,mud- dirt,泥; 泥漿,His shoes were covered in mud.,Muddy water.
museum,n.,muse- muse; -um- place,博物館,He visited a museum.,The British Museum.
music,n.,mus- muse; -ic pertaining to,音樂; 樂曲,He loves music.,Classical music.
must,aux./n.,must- obligation,必須; 必須品,You must go.,It's a must.
name,n./v.,name- word,名字; 名稱; 命名,What is your name?,He named his son John.
national,adj.,nation- nation; -al pertaining to,國家的; 民族的,The national flag.,National anthem.
nature,n.,nat- born; -ure act/state of,自然; 性質,He loves nature.,Human nature.
near,prep./adj./adv./v.,near- close,靠近; 近的; 附近; 接近,He lives near the school.,The store is near.
neck,n.,neck- part of body,脖子; 頸部,He hurt his neck.,A long neck.
need,v./n./aux.,need- require,需要; 需求; 必須,I need help.,He has a need for money.
net,n./v.,net- mesh,網; 淨; 捕撈,He caught fish with a net.,The net profit.
never,adv.,ne- not; ever- ever,從不; 永不,He never smokes.,Never say never.
new,adj.,new- fresh,新的; 新鮮的,He bought a new car.,A new idea.
news,n.,new- new,新聞; 消息,He watched the news.,Good news.
newspaper,n.,news- news; paper- paper,報紙,He reads the newspaper every day.,A daily newspaper.
next,adj./adv.,next- following,下一個; 其次; 旁邊,He is the next in line.,Next to me.
nice,adj.,nice- pleasant,好的; 友好的; 漂亮的,He is a nice person.,A nice day.
night,n.,night- dark,夜晚; 夜晚,Good night.,He works at night.
no/nope,adj./adv./n.,no- not,不; 沒有; 不,"No, I don't.",No problem.
nobody,pron./n.,no- no; body- person,沒有人; 無人,Nobody is home.,He saw nobody.
noise,n.,noise- sound,噪音; 喧譁,He heard a loud noise.,Loud noise.
noisy,adj.,noise- noise; -y full of,吵鬧的; 喧譁的,The street is noisy.,A noisy class.
noon,n.,noon- middle of day,中午; 正午,He ate lunch at noon.,At noon.
north,n./adj./adv.,north- direction,北方; 北方的; 向北,He lives in the north.,North America.
nose,n.,nose- organ,鼻子,He has a big nose.,My nose is running.
not,adv.,not- negative,不; 沒有,I am not happy.,He did not go.
note,n./v.,note- mark,筆記; 便條; 注意,He took notes.,Note down the address.
nothing,pron./n.,no- no; thing- thing,沒有什麼; 毫無,He said nothing.,There is nothing to do.
notice,v./n.,not- mark; -ice- notice,注意; 通知; 注意,He noticed her.,A notice on the wall.
now,adv./n.,now- present time,現在; 目前; 現在,He is here now.,From now on.
number,n./v.,numer- number,數字; 數量; 編號,What is your phone number?,He numbered the pages.
nurse,n./v.,nurs- nourish,護士; 護理; 照料,She works as a nurse.,He nursed the sick child.
O.K./OK/okay,adj./adv./n./v.,O.K.- all correct,好的; 可以; 同意; 同意,It's okay.,He said okay.
o’clock,adv.,of- of; clock- clock,點鐘,It's 10 o'clock.,At 3 o'clock.
of,prep.,of- belonging,的; 屬於,The book of John.,A cup of coffee.
off,adv./prep./adj.,off- away,離開; 關掉; 離開的,Turn off the light.,He took off his coat.
office,n.,of- to/toward; -fic- make,辦公室; 辦事處,He works in an office.,A small office.
officer,n.,of- to/toward; -fic- make; -er person,官員; 警官,He is a police officer.,A military officer.
often,adv.,oft- frequent; -en- make,經常; 常常,He often goes out.,She often visits.
oil,n./v.,oil- liquid,油; 石油; 塗油,He put oil in the car.,The company oils the machines.
old,adj.,old- aged,老的; 舊的,He is an old man.,An old car.
on,prep./adv.,on- upon,在...上面; 在上面,The book is on the table.,He put his hat on.
once,adv./conj./n.,one- one,一次; 曾經; 一旦; 一次,He went there once.,Once upon a time.
online,adj.,on- on; line- line,在線的; 聯網的,He is online.,Online shopping.
only,adv./adj./conj.,one- one; -ly like,只; 僅僅; 唯一的; 只有,He is only 10 years old.,He is the only child.
open,adj./v.,open- not closed,開著的; 打開; 開放,The door is open.,He opened the door.
or,conj.,or- alternative,或者; 還是,Tea or coffee?,Black or white.
orange,adj./n.,orange- fruit,橙色的; 橙子,He ate an orange.,The color orange.
order,n./v.,order- arrangement,命令; 順序; 訂購,He gave an order.,He ordered a pizza.
other,adj./pron.,other- different,其他的; 另外的; 另外的人/物,He has other books.,The other one.
out,adv./prep./adj./n./v.,out- outside,出去; 在外; 外面的; 外部; 熄滅,He went out.,He is out of town.
outside,prep./adv./adj./n.,out- out; side- side,在...外面; 在外面; 外面的; 外部,He stood outside the house.,Come outside.
over,prep./adv.,over- above,在...上面; 越過; 結束,The bird flew over the trees.,The game is over.
own,adj./pron./v.,own- possess,自己的; 擁有; 承認,He has his own car.,He owns a house.
pack,n./v.,pack- bundle,包裹; 揹包; 打包,He carried a pack.,She packed her suitcase.
package,n.,pack- bundle; -age act/state of,包裹; 包裝,He received a package.,A small package.
page,n.,page- leaf,頁; 頁碼,Turn to page 10.,The first page.
paint,n./v.,paint- color,油漆; 顏料; 繪畫,He painted the wall.,A beautiful painting.
pair,n.,pair- two,一對; 一雙,A pair of shoes.,A pair of gloves.
pants,n.,pant- leg,褲子,He wore pants.,Blue pants.
paper,n./v.,paper- material,紙; 報紙; 貼壁紙,He wrote on a piece of paper.,A newspaper.
parent(s),n.,par- give birth,父母; 父親/母親,His parents are kind.,My parents.
park,n./v.,park- enclosure,公園; 停車場; 停車,He walked in the park.,He parked his car.
part,n./v.,part- piece,部分; 零件; 分開,He is part of the team.,He parted his hair.
party,n./v.,party- group,聚會; 政黨; 聚會,He went to a party.,A political party.
pass,v./n.,pass- go,通過; 經過; 傳球; 通行證,He passed the exam.,A mountain pass.
past,adj./n./prep./adv.,past- gone,過去的; 過去; 經過; 經過,The past year.,In the past.
pay(ment),v./(n.),pay- give,支付; 付款; 薪水,He paid the bill.,He received a payment.
pen,n./v.,pen- writing tool,鋼筆; 圍欄; 關進圍欄,He wrote with a pen.,A pig pen.
pencil,n.,pen- writing tool; -cil- small,鉛筆,He wrote with a pencil.,A sharp pencil.
people,n./v.,popul- people,人; 人們; 居住,Many people live in the city.,The area is populated.
perhaps,adv.,per- through; hap- chance,也許; 可能,Perhaps he will come.,Perhaps not.
person,n.,per- through; -son- sound,人; 個人,He is a good person.,A kind person.
pet,n./v.,pet- animal,寵物; 撫摸,He has a pet dog.,She petted the cat.
photograph/photo,n./v.,photo- light; -graph- write,照片; 攝影; 拍照,He took a photograph.,A beautiful photo.
piano,n.,pian- soft,鋼琴,He plays the piano.,A grand piano.
pick,v./n.,pick- choose,挑選; 採摘; 鎬,He picked an apple.,A good pick.
picnic,n./v.,picnic- meal,野餐; 野餐,They went on a picnic.,They picnicked in the park.
picture,n./v.,pict- paint; -ure act/state of,圖片; 照片; 描繪,He drew a picture.,She pictured him in her mind.
pie,n.,pie- food,餡餅; 派,She baked an apple pie.,A delicious pie.
piece,n./v.,piece- part,塊; 片; 碎片; 拼湊,He ate a piece of cake.,He pieced together the evidence.
pig,n./v.,pig- animal,豬; 豬肉; 貪婪,He has a pet pig.,He pigged out.
pin,n./v.,pin- fastener,別針; 大頭針; 別住,He pinned the note to the board.,A safety pin.
pink,adj./n.,pink- color,粉紅色的; 粉紅色,She wore a pink dress.,The color pink.
pipe,n./v.,pipe- tube,管子; 菸斗; 吹奏,The water pipe is broken.,He smoked a pipe.
place,n./v.,place- location,地方; 地點; 放置,What is your favorite place?,He placed the book on the table.
plan,n./v.,plan- design,計劃; 方案; 計劃,He made a plan.,They planned a trip.
planet,n.,plan- wander,行星,The Earth is a planet.,The solar system.
plant,n./v.,plant- grow,植物; 工廠; 種植,He planted a tree.,A car plant.
plate,n.,plate- flat dish,盤子; 碟子,He ate from a plate.,A dinner plate.
play,v./n.,play- game,玩; 演奏; 戲劇; 遊戲,He plays football.,A children's play.
player,n.,play- play; -er person,運動員; 玩家; 演奏者,He is a good player.,A football player.
please,v.,please- satisfy,請; 使高興,Please come in.,He pleased her.
pleasure,n.,pleas- please; -ure act/state of,樂趣; 愉快,He takes pleasure in his work.,It was a pleasure.
pm/p.m.,adv.,p- post; m- middle,下午,The meeting is at 3 p.m.,He works until 5 p.m.
pocket,n./v.,pocket- bag,口袋; 錢袋; 裝入口袋,He put his hand in his pocket.,He pocketed the money.
point,n./v.,point- tip,點; 要點; 指出,He made a good point.,He pointed at the map.
police,n./v.,poli- city,警察; 警方; 維持治安,He called the police.,The police arrived.
polite,adj.,polite- polished,有禮貌的; 客氣的,He is a polite person.,A polite request.
pond,n.,pond- small lake,池塘; 水池,The ducks swam in the pond.,A small pond.
pool,n./v.,pool- puddle,水池; 游泳池; 彙集,He swam in the pool.,They pooled their resources.
poor,adj.,poor- needy,貧窮的; 可憐的,He is a poor man.,A poor family.
