單字,詞性,詞根,中文解釋,例句1,例句2
depart,v.,de- down/away; -part- part,離開; 出發,The train departed at 10 o'clock.,He departed from his usual routine.
departure,n.,de- down/away; -part- part; -ure act/state of,離開; 出發,The departure of the train.,His sudden departure.
dependent,adj./n.,de- down/away; -pend- hang; -ent being,依賴的; 依靠的; 依賴者,He is dependent on his parents.,The country is dependent on foreign aid.
depression,n.,de- down/away; -press- press; -ion act/state of,沮喪; 蕭條; 凹陷,He suffered from depression.,The economic depression.
deserve,v.,de- down/away; -serv- serve,應得; 值得,He deserves a reward.,She deserves to be happy.
desperate,adj.,de- down/away; -sper- hope; -ate make/cause to be,絕望的; 拼命的,He was desperate for help.,A desperate attempt.
despite,prep.,de- down/away; -spite- scorn,儘管; 不顧,"Despite the bad weather, they went out.",He succeeded despite the difficulties.
destruction,n.,de- down/away; -struct- build; -ion act/state of,破壞; 毀滅,The destruction of the forest.,The destruction caused by the earthquake.
detective,n./adj.,de- down/away; -tect- cover; -ive tending to,偵探; 偵探的,He works as a detective.,A detective story.
determination,n.,de- down/away; -termin- limit; -ation act/state of,決心; 決定,He showed great determination.,Her determination to succeed.
device,n.,de- down/away; -vis- see,裝置; 設備; 手段,A mobile device.,The device is used for measuring temperature.
devise,v.,de- down/away; -vis- see,設計; 發明,He devised a new plan.,They devised a strategy.
devote,v.,de- down/away; -vot- vow,奉獻; 致力於,He devoted his life to science.,She devoted herself to her family.
dew,n.,dew- moisture,露水,The grass was covered with dew.,Morning dew.
diagram,n./v.,dia- through; -gram- write,圖表; 圖解; 用圖表表示,He drew a diagram.,The diagram shows the process.
differ,v.,dif- apart; -fer- carry,不同; 相異,They differ in opinion.,The two cases differ.
digest,n./v.,di- apart; -gest- carry,消化; 領悟; 文摘,He digested his food.,She digested the information.
digital,adj.,digit- finger; -al pertaining to,數字的; 數碼的,Digital cameras are popular.,Digital technology.
dignity,n.,dign- worthy; -ity state/quality,尊嚴; 莊嚴,He maintained his dignity.,She behaved with dignity.
diligence,n.,di- apart; -lig- choose; -ence state/quality,勤奮; 勤勉,He showed great diligence in his studies.,Her diligence was rewarded.
diligent,adj.,di- apart; -lig- choose; -ent being,勤奮的; 勤勉的,He is a diligent student.,She is a diligent worker.
diploma,n.,diploma- folded paper,文憑; 畢業證書,He received his diploma.,She earned a diploma.
diplomat,n.,diploma- folded paper; -at- agent,外交官,He is a diplomat.,She works as a diplomat.
disability,n.,dis- not; able- able; -ity state/quality,殘疾; 無能力,He has a physical disability.,Learning disability.
disadvantage,n./v.,dis- not; ad- to/toward; -vant- before; -age act/state of,不利; 缺點; 使處於不利地位,He suffered from a disadvantage.,The disadvantage of living alone.
disappoint(ment),v./(n.),dis- not; ap- to/toward; -point- point; -ment result of,使失望; 失望,His failure disappointed her.,He expressed his disappointment.
disaster,n.,dis- not; aster- star,災難; 災禍,The earthquake was a disaster.,The project was a disaster.
discipline,n./v.,discip- learn; -line- line,紀律; 學科; 訓練,He has good discipline.,She studies various disciplines.
discourage(ment),v./(n.),dis- not; cour- heart; -age- act; -ment result of,使氣餒; 阻止; 氣餒,His failure discouraged him.,He felt a sense of discouragement.
disguise,v./n.,dis- not; guise- guise,偽裝; 掩飾; 偽裝,He disguised himself as a woman.,She wore a disguise.
disgust,n./v.,dis- not; gust- taste,厭惡; 噁心; 使厭惡,He felt disgust at the sight.,The smell disgusted him.
dismiss,v.,dis- not; -miss- send,解僱; 解散; 不予理會,He was dismissed from his job.,The judge dismissed the case.
disorder,n./v.,dis- not; order- order,混亂; 紊亂; 擾亂,The room was in disorder.,He suffered from a mental disorder.
dispute,n./v.,dis- not; -put- think,爭論; 爭議; 爭論,They had a dispute over money.,He disputed the claim.
distinct,adj.,dis- not; -stinct- prick,獨特的; 明顯的,He has a distinct accent.,The two ideas are distinct.
distinguish,v.,dis- not; -stinct- prick,區分; 辨別; 使傑出,He distinguished between the two types.,She distinguished herself as a scientist.
distinguished,adj.,dis- not; -stinct- prick; -ed past participle,傑出的; 著名的,He is a distinguished scholar.,A distinguished career.
distribute,v.,dis- not; -tribute- give,分發; 分配,They distributed food to the poor.,The company distributes its products.
distribution,n.,dis- not; -tribute- give; -ion act/state of,分發; 分配; 分佈,The distribution of wealth.,The distribution of goods.
district,n.,dis- not; -strict- draw tight,區域; 地區,He lives in the business district.,The school district.
disturb,v.,dis- not; -turb- disturb,打擾; 擾亂,Don't disturb me.,The noise disturbed his sleep.
diverse,adj.,di- apart; -vers- turn,不同的; 多種多樣的,The city has a diverse population.,Diverse opinions.
diversity,n.,di- apart; -vers- turn; -ity state/quality,多樣性; 多元化,The diversity of cultures.,Biodiversity is important.
divine,adj.,div- god; -ine pertaining to,神聖的; 神的,Divine power.,The divine right of kings.
divorce,n./v.,di- apart; -vorce- turn,離婚; 離婚,They got a divorce.,She divorced her husband.
dodge,v./n.,dodge- avoid,躲避; 閃避; 躲閃,He dodged the question.,She made a quick dodge.
dominant,adj.,dom- house/lord; -in- rule; -ant being,占主導地位的; 優勢的,He has a dominant personality.,The dominant species.
dominate,v.,dom- house/lord; -in- rule; -ate make/cause to be,支配; 統治,He dominated the conversation.,The company dominates the market.
draft,n./v.,draw- pull,草稿; 草案; 起草,He wrote a draft of his speech.,They drafted a new law.
dread,n./v.,dread- fear,恐懼; 害怕; 畏懼,He lived in dread of failure.,She dreaded the thought of leaving.
drift,v./n.,drift- float,漂流; 漂移; 漂流物,The boat drifted out to sea.,The snow drifted.
drill,n./v.,drill- bore,鑽; 鑽孔; 訓練,He used a drill to make a hole.,Fire drill.
drowsy,adj.,drowse- sleep; -y full of,睏倦的; 昏昏欲睡的,He felt drowsy after lunch.,The medicine made him drowsy.
durable,adj.,dur- hard/last; -able capable of,耐用的; 持久的,The shoes are very durable.,Durable goods.
dusty,adj.,dust- dust; -y full of,多塵的; 塵土飛揚的,The old books were dusty.,The dusty road.
dye,n./v.,dye- color,染料; 染色; 染色,She dyed her hair red.,The fabric was dyed blue.
dynamic,adj.,dynam- power; -ic pertaining to,動態的; 有活力的,He has a dynamic personality.,The dynamic changes in the market.
dynasty,n.,dynast- ruler; -y result of,王朝; 朝代,The Ming Dynasty was a powerful dynasty.,The royal dynasty.
earnest,adj./n.,earnest- serious,認真的; 真誠的; 認真,He made an earnest effort.,She spoke in earnest.
earphone,n.,ear- ear; phone- sound,耳機,He listened to music on his earphones.,She wore earphones.
economic,adj.,eco- house; -nom- law; -ic pertaining to,經濟的; 經濟學的,The country's economic growth.,Economic policy.
economical,adj.,eco- house; -nom- law; -ical pertaining to,節約的; 經濟的,It's an economical car.,He is very economical.
economics,n.,eco- house; -nom- law; -ics art/science,經濟學,He studies economics.,The principles of economics.
economist,n.,eco- house; -nom- law; -ist person,經濟學家,He is a famous economist.,She works as an economist.
economy,n.,eco- house; -nom- law; -y result of,經濟; 節約,The global economy is struggling.,He practices economy.
efficiency,n.,ef- out; -fic- make; -iency state/quality,效率; 效能,He works with great efficiency.,Energy efficiency.
elastic,adj./n.,e- out; -last- stretch; -ic pertaining to,彈性的; 有彈性的; 橡皮筋,The waistband is elastic.,Elastic bands.
electronics,n.,electr- electricity; -onics art/science,電子學; 電子產品,He studies electronics.,Consumer electronics.
elegant,adj.,e- out; -leg- choose; -ant being,優雅的; 高雅的,She wore an elegant dress.,The elegant design.
elementary,adj.,element- element; -ary pertaining to,基本的; 初級的,Elementary education is important.,Elementary particles.
eliminate,v.,e- out; -limin- threshold; -ate make/cause to be,消除; 淘汰,They eliminated the competition.,He eliminated the errors.
elsewhere,adv.,else- other; where- where,在別處; 到別處,He went elsewhere.,The information is available elsewhere.
embarrass(ment),v./(n.),em- in; -barr- bar; -ass- make; -ment result of,使尷尬; 尷尬,His comments embarrassed her.,She felt a sense of embarrassment.
embassy,n.,em- in; -bass- low,大使館,He works at the embassy.,The American Embassy.
emerge,v.,e- out; -merg- dip,出現; 浮現,The sun emerged from behind the clouds.,New problems emerged.
emphasis,n.,em- in; -phas- show; -is act/state of,強調; 重點,He placed emphasis on the importance of education.,The emphasis is on quality.
empire,n.,em- in; -per- command,帝國; 帝王統治,The Roman Empire was vast.,The British Empire.
enclose,v.,en- in; -close- close,圍住; 附上,He enclosed the garden with a fence.,Please enclose a self-addressed envelope.
encounter,n./v.,en- in; -counter- against,遭遇; 邂逅; 遭遇,He had a strange encounter.,They encountered many difficulties.
endanger,v.,en- in; danger- danger,危及; 使瀕危,Smoking can endanger your health.,The species is endangered.
endure,v.,en- in; -dur- hard/last,忍受; 持久,He endured great pain.,The building has endured for centuries.
enforce(ment),v./(n.),en- in; -forc- strong; -ment result of,強制執行; 實施; 強制,The police enforce the law.,The enforcement of regulations.
engineering,n.,en- in; -gen- birth; -eer- agent; -ing act/state of,工程; 工程學,He studies engineering.,Civil engineering.
enlarge(ment),v./(n.),en- in; large- large; -ment result of,擴大; 放大; 放大,They enlarged the photo.,The enlargement of the company.
enormous,adj.,e- out; -norm- rule; -ous full of,巨大的; 龐大的,He has an enormous appetite.,The enormous size of the building.
ensure,v.,en- in; -sur- sure,確保; 保證,He ensured that everyone was safe.,We need to ensure quality.
entertain(ment),v./(n.),en- in; -tain- hold; -ment result of,娛樂; 款待; 娛樂,He entertained the guests.,The entertainment industry.
enthusiasm,n.,en- in; -thus- god; -iast- inspired; -ism doctrine,熱情; 熱心,He showed great enthusiasm for the project.,Her enthusiasm was contagious.
equality,n.,equ- equal; -ality state/quality,平等; 相等,They fought for equality.,Gender equality.
equip(ment),v./(n.),e- out; -quip- ship; -ment result of,裝備; 配備; 設備,They equipped the soldiers with new weapons.,The laboratory equipment.
era,n.,era- age,時代; 紀元,The Victorian era.,A new era of peace.
essential,adj./n.,ess- be; -ent- being; -ial pertaining to,必要的; 本質的; 要素,Water is essential for life.,The essential elements of a good story.
establish(ment),v./(n.),e- out; -stab- stand; -lish- make; -ment result of,建立; 設立; 機構,They established a new company.,The establishment of a new government.
estimate,n./v.,es- out; -tim- value; -ate make/cause to be,估計; 估價; 估計,He gave an estimate of the cost.,They estimated the damage.
ethnic,adj./n.,eth- custom; -ic pertaining to,民族的; 種族的; 少數民族,Ethnic groups live in the city.,Ethnic diversity.
evaluate,v.,e- out; -val- value; -ate make/cause to be,評估; 評價,They evaluated the project.,She evaluated his performance.
evaluation,n.,e- out; -val- value; -ation act/state of,評估; 評價,The evaluation of the program.,A performance evaluation.
eventual,adj.,e- out; -vent- come; -ual pertaining to,最終的; 結果的,The eventual outcome was positive.,His eventual success.
evidence,n./v.,e- out; -vid- see; -ence state/quality,證據; 證明; 證明,There is no evidence to support his claim.,The facts evidence his guilt.
evident,adj.,e- out; -vid- see; -ent being,明顯的; 顯而易見的,It was evident that he was tired.,His guilt was evident.
exaggerate,v.,ex- out; -agger- heap; -ate make/cause to be,誇大; 言過其實,He exaggerated his achievements.,Don't exaggerate.
exception,n.,ex- out; -cept- take; -ion act/state of,例外; 除外,He made an exception for her.,With the exception of one student.
exhaust,n./v.,ex- out; -haust- draw,排氣; 廢氣; 耗盡,The car's exhaust pipe.,He was exhausted after the long journey.
exhibit,n./v.,ex- out; -hib- hold,展覽; 展品; 展覽,They exhibited their artwork.,The museum has many exhibits.
expand,v.,ex- out; -pand- spread,擴大; 膨脹,The company expanded its business.,The gas expanded.
expansion,n.,ex- out; -pand- spread; -ion act/state of,擴大; 膨脹,The expansion of the universe.,The company's expansion plans.
experimental,adj.,ex- out; -per- try; -iment- test; -al pertaining to,實驗性的; 試驗的,They conducted an experimental study.,Experimental music.
explanation,n.,ex- out; -plan- flat; -ation act/state of,解釋; 說明,He gave a clear explanation.,The explanation was satisfactory.
explosion,n.,ex- out; -plod- clap; -ion act/state of,爆炸; 爆發,The explosion caused widespread damage.,An explosion of anger.
explosive,adj./n.,ex- out; -plod- clap; -ive tending to,爆炸性的; 易爆炸的; 炸藥,Explosive materials are dangerous.,The explosive device.
expose,v.,ex- out; -pos- put,暴露; 揭露,He exposed the truth.,She exposed her skin to the sun.
exposure,n.,ex- out; -pos- put; -ure act/state of,暴露; 接觸; 曝光,Exposure to the sun can be harmful.,He suffered from exposure.
extend,v.,ex- out; -tend- stretch,延伸; 延長,The road extends for miles.,They extended the deadline.
extent,n.,ex- out; -tend- stretch; -t result,程度; 範圍,"To a certain extent, I agree with you.",The extent of the damage.
facial,adj.,fac- face; -ial pertaining to,面部的; 臉部的,He has a facial expression.,Facial features.
facility,n.,fac- make; -ility state/quality,設施; 設備; 才能,The hotel has excellent facilities.,He has a facility for languages.
faithful,adj.,faith- trust; -ful full of,忠誠的; 忠實的,He is a faithful friend.,She is a faithful wife.
fame,n.,fam- speak,名聲; 名譽,He achieved international fame.,She sought fame and fortune.
fantastic,adj.,fant- show; -astic pertaining to,極好的; 奇妙的,He had a fantastic idea.,The movie was fantastic.
fantasy,n.,fant- show; -asy result of,幻想; 想象,He lives in a world of fantasy.,She has a vivid fantasy life.
farewell,n.,fare- go; well- well,告別; 告別詞,They said their farewells.,He bid her farewell.
fasten,v.,fast- firm; -en make,繫緊; 固定,He fastened his seatbelt.,She fastened the door.
fatal,adj.,fat- fate; -al pertaining to,致命的; 決定性的,The accident was fatal.,A fatal mistake.
favorable,adj.,fav- favor; -or- agent; -able capable of,有利的; 贊成的,He received a favorable response.,The weather was favorable.
fax,n./v.,fac- make; simil- like,傳真; 傳真,He sent a fax.,She faxed the document.
feast,n./v.,feast- festival,盛宴; 宴請; 享用,They prepared a feast.,He feasted on the delicious food.
feedback,n.,feed- feed; back- back,反饋; 反應,He received positive feedback.,Customer feedback is important.
ferry,n./v.,ferry- carry,渡船; 渡運; 擺渡,They took a ferry across the river.,The ferry carries cars and passengers.
fertile,adj.,fer- bear/carry; -tile pertaining to,肥沃的; 豐產的,The soil is fertile.,Fertile land.
fetch,v./n.,fetch- bring,取來; 拿來; 取得,He went to fetch some water.,The dog fetched the ball.
fiction,n.,fict- feign; -ion act/state of,小說; 虛構,He enjoys reading fiction.,Science fiction.
fierce,adj.,fierce- wild,兇猛的; 猛烈的,The dog was fierce.,A fierce storm.
finance,n./v.,fin- end; -ance state/quality,金融; 財政; 資助,He works in finance.,The company needs to finance the project.
financial,adj.,fin- end; -ance state/quality; -ial pertaining to,金融的; 財政的,He has financial problems.,Financial aid.
fireplace,n.,fire- fire; place- place,壁爐,They sat by the fireplace.,The fire in the fireplace.
flatter,v.,flatter- smooth,奉承; 諂媚,He flattered her with compliments.,Don't flatter yourself.
flea,n.,flea- insect,跳蚤,The dog had fleas.,Flea bites.
flee,v.,flee- run away,逃跑; 逃離,He fled the country.,They fled from the burning building.
flexible,adj.,flex- bend; -ible capable of,靈活的; 柔韌的,He is very flexible.,The flexible working hours.
fluent,adj.,flu- flow; -ent being,流利的; 流暢的,He speaks fluent English.,She is fluent in French.
flush,v./n.,flush- flow,沖洗; 臉紅; 沖洗,He flushed the toilet.,She felt a flush of embarrassment.
foam,n./v.,foam- froth,泡沫; 起泡沫,The beer had a lot of foam.,The waves foamed.
forbid,v.,for- away; bid- command,禁止; 不允許,Smoking is forbidden here.,He forbade her to go.
forecast,n./v.,fore- before; cast- throw,預測; 預報; 預測,The weather forecast is good.,They forecast a rise in prices.
formation,n.,form- form; -ation act/state of,形成; 構成; 編隊,The formation of clouds.,The rock formation.
formula,n.,form- form; -ul- small,公式; 配方,He used a mathematical formula.,The baby formula.
fort,n.,fort- strong,堡壘; 要塞,The soldiers defended the fort.,An ancient fort.
fortunate,adj.,fort- chance; -un- luck; -ate make/cause to be,幸運的; 僥倖的,He was fortunate to escape injury.,It was a fortunate coincidence.
fossil,n./adj.,foss- dig,化石; 化石的,They found a dinosaur fossil.,Fossil fuels are non-renewable.
foundation,n.,found- bottom; -ation act/state of,基礎; 基金會,The foundation of the building.,He established a charitable foundation.
founder,n.,found- bottom; -er person,創始人; 奠基人,He is the founder of the company.,The founder of the university.
fragile,adj.,frag- break; -ile pertaining to,脆弱的; 易碎的,The vase is fragile.,The fragile ecosystem.
frame,n./v.,frame- form,框架; 骨架; 構成,The picture frame.,He framed the painting.
frequency,n.,frequ- frequent; -ency state/quality,頻率; 頻繁,The frequency of accidents.,Radio frequency.
freshman,n.,fresh- new; man- man,大學一年級學生,He is a freshman at college.,She is a freshman.
frost,n./v.,frost- freeze,霜; 霜凍; 結霜,The grass was covered with frost.,The windows frosted over.
frown,n./v.,frown- wrinkle,皺眉; 愁眉苦臉; 皺眉,He frowned in concentration.,She gave him a frown.
frustrate,v.,frustr- in vain; -ate make/cause to be,挫敗; 使沮喪,His efforts were frustrated.,She felt frustrated.
frustration,n.,frustr- in vain; -ation act/state of,挫敗; 沮喪,He felt a sense of frustration.,The frustration of not being able to help.
fulfill(ment),v./(n.),full- full; fill- fill; -ment result of,履行; 實現; 滿足,He fulfilled his promise.,The fulfillment of his dreams.
functional,adj.,funct- perform; -ion act/state of; -al pertaining to,功能的; 實用的,The design is functional.,The functional aspects of the product.
fundamental,adj./n.,fund- bottom; -ment- result of; -al pertaining to,基本的; 根本的; 基本原理,He has a fundamental understanding of the subject.,The fundamental principles of physics.
funeral,n.,funer- burial,葬禮; 喪禮,He attended the funeral.,The funeral procession.
furious,adj.,fur- rage; -ious full of,狂怒的; 暴怒的,He was furious at the news.,She was furious with him.
furnish,v.,furnish- provide,佈置; 提供,They furnished the apartment.,He furnished her with information.
furthermore,adv.,further- further; more- more,此外; 而且,"Furthermore, he is a good singer.","She is intelligent; furthermore, she is kind".
gallery,n.,gall- hall,畫廊; 美術館; 走廊,They visited an art gallery.,The gallery is open to the public.
gaze,n./v.,gaze- look,凝視; 注視; 凝視,He gazed at the stars.,She met his gaze.
gear,n./v.,gear- equipment,齒輪; 設備; 調整,He shifted gears.,The car is in gear.
gender,n.,gen- birth,性別,Gender equality is important.,What is your gender?
gene,n.,gen- birth,基因,He inherited the gene from his mother.,Genetic engineering.
generation,n.,gen- birth; -ation act/state of,一代; 世代; 產生,The younger generation.,The generation of electricity.
generosity,n.,gen- birth; -er- agent; -osity state/quality,慷慨; 寬宏大量,He showed great generosity.,Her generosity was well known.
genius,n.,gen- birth,天才; 天賦,He is a genius.,She has a genius for music.
genuine,adj.,gen- birth; -uine pertaining to,真正的; 真誠的,The painting is genuine.,He gave a genuine smile.
germ,n.,germ- sprout,細菌; 病菌; 胚芽,He caught a germ.,Germ warfare.
gifted,adj.,gift- gift; -ed having,有天賦的; 有才華的,She is a gifted musician.,He is a gifted student.
gigantic,adj.,gigant- giant; -ic pertaining to,巨大的; 龐大的,The building was gigantic.,A gigantic tree.
giggle,n./v.,giggle- laugh,咯咯笑; 傻笑; 咯咯笑,The children giggled.,She gave a giggle.
ginger,n.,ginger- root,姜; 薑黃色的,She added ginger to the soup.,Ginger ale.
glimpse,n./v.,glimpse- glance,一瞥; 瞥見; 瞥見,He caught a glimpse of her.,She glimpsed him in the crowd.
globe,n.,glob- ball,地球; 地球儀,The globe is a model of the Earth.,He traveled around the globe.
glorious,adj.,glor- glory; -ious full of,光榮的; 輝煌的,He achieved a glorious victory.,The glorious sunset.
goods,n.,good- good,商品; 貨物,The store sells various goods.,Consumer goods.
gown,n.,gown- dress,禮服; 長袍,She wore a beautiful gown.,A wedding gown.
grace,n./v.,grace- favor,優雅; 恩典; 使優美,She moved with grace.,He graced the occasion with his presence.
graceful,adj.,grace- favor; -ful full of,優美的; 雅緻的,She is a graceful dancer.,A graceful movement.
gracious,adj.,grace- favor; -ious full of,親切的; 仁慈的,She is a gracious hostess.,He gave a gracious speech.
graduation,n.,grad- step; -ation act/state of,畢業; 畢業典禮,He attended his graduation ceremony.,The graduation season.
grammar,n.,gram- write,語法,He studies English grammar.,Good grammar is important.
grammatical,adj.,gram- write; -ic- pertaining to; -al pertaining to,語法的; 符合語法的,He made a grammatical error.,Grammatical rules.
graph,n./v.,graph- write,圖表; 圖形; 用圖表表示,He drew a graph.,The graph shows the data.
grateful,adj.,grat- pleasing; -ful full of,感激的; 感謝的,He was grateful for her help.,I'm grateful to you.
gratitude,n.,grat- pleasing; -itude state/quality,感激; 感謝,He expressed his gratitude.,She felt a deep sense of gratitude.
grave,n./adj.,grav- heavy,墳墓; 墓穴; 嚴重的; 莊重的,He visited his father's grave.,The situation is grave.
greasy,adj.,grease- fat; -y full of,油膩的; 油滑的,The food was greasy.,Greasy hair.
greeting(s),n.,greet- greet; -ing act/state of,問候; 招呼,He exchanged greetings with his friends.,Season's greetings.
grief,n.,griev- heavy,悲傷; 悲痛,He felt deep grief at her death.,She was overcome with grief.
grind,v./n.,grind- crush,磨碎; 研磨; 苦差事,He ground the coffee beans.,The daily grind.
guarantee,v./n.,guarant- warrant,保證; 擔保; 保證書,He guaranteed her safety.,The product comes with a guarantee.
guardian,n.,guard- guard; -ian person,監護人; 守護者,He is her legal guardian.,The guardian of the galaxy.
guilt,n.,guilt- crime,內疚; 罪過,He felt a sense of guilt.,His guilt was evident.
guilty,adj.,guilt- crime; -y full of,有罪的; 內疚的,He was found guilty of murder.,She felt guilty about lying.
gulf,n.,gulf- swallow,海灣; 鴻溝,The Gulf of Mexico.,There is a wide gulf between them.
habitual,adj.,habit- habit; -ual pertaining to,習慣性的; 慣常的,He is a habitual liar.,His habitual behavior.
halt,n./v.,halt- stop,停止; 暫停; 停止,The car came to a halt.,They halted the production.
handwriting,n.,hand- hand; write- write; -ing act/state of,筆跡; 書法,His handwriting is illegible.,She has beautiful handwriting.
hardship,n.,hard- hard; -ship state/quality,困苦; 艱難,They faced many hardships.,Economic hardship.
hardware,n.,hard- hard; ware- goods,硬件; 五金,Computer hardware.,The hardware store.
harmony,n.,harmon- harmony; -y result of,和諧; 和睦,They lived in perfect harmony.,Racial harmony.
harsh,adj.,harsh- rough,嚴厲的; 刺耳的; 惡劣的,He received a harsh punishment.,The harsh reality.
haste,n.,haste- speed,匆忙; 急忙,He left in haste.,Haste makes waste.
hasten,v.,haste- speed; -en make,加速; 催促,He hastened his steps.,The news hastened his departure.
hatred,n.,hate- hate; -red state/quality,憎恨; 仇恨,He felt a deep hatred for his enemy.,Racial hatred.
hawk,n.,hawk- bird,鷹; 隼,A hawk soared in the sky.,He has a hawk-like nose.
helicopter,n.,helic- spiral; -opter- wing,直升機,The helicopter landed on the roof.,He flew in a helicopter.
herd,n./v.,herd- group,獸群; 牧群; 放牧,A herd of cows.,He herded the sheep.
hesitation,n.,hesit- stick; -ation act/state of,猶豫; 躊躇,He spoke without hesitation.,She showed no hesitation.
hive,n.,hive- bee,蜂巢; 蜂箱,The bees lived in a hive.,A beehive.
homeland,n.,home- home; land- land,祖國; 家園,He returned to his homeland.,The defense of the homeland.
honeymoon,n./v.,honey- honey; moon- moon,蜜月; 度蜜月,They went on their honeymoon.,They honeymooned in Paris.
hook,n./v.,hook- bend,鉤子; 鉤住; 吸引,He hung his coat on the hook.,The story hooked him.
horizon,n.,horiz- boundary,地平線; 視野,The sun set below the horizon.,He has a broad horizon.
horrify,v.,horr- shudder; -fy make,使恐懼; 使震驚,The news horrified her.,She was horrified by the sight.
hose,n./v.,hose- tube,軟管; 軟管; 沖洗,He watered the garden with a hose.,She hosed down the car.
household,n.,house- house; hold- hold,家庭; 家務; 家庭的,He lives in a large household.,Household chores.
housework,n.,house- house; work- work,家務; 家務勞動,She does all the housework.,He helps with the housework.
humanity,n.,human- human; -ity state/quality,人類; 人性; 人道,The future of humanity.,He showed great humanity.
humidity,n.,humid- moist; -ity state/quality,溼度; 潮溼,The humidity was high.,The tropical humidity.
hurricane,n.,hurricane- storm,颶風; 暴風,The hurricane caused widespread damage.,A powerful hurricane.
hush,n./v.,hush- silence,安靜; 寂靜; 使安靜,A hush fell over the crowd.,He hushed the children.
hydrogen,n.,hydro- water; -gen- produce,氫,Water is made of hydrogen and oxygen.,Hydrogen is a light gas.
identical,adj.,ident- same; -ic- pertaining to; -al pertaining to,相同的; 同一的,The two cars are identical.,They wore identical clothes.
identification,n.,ident- same; -fic- make; -ation act/state of,身份證明; 識別,He showed his identification.,The identification of the suspect.
identify,v.,ident- same; -fy make,識別; 認出; 認同,He identified the suspect.,She identified with the character.
idiom,n.,idiom- peculiar phrase,習語; 成語,He uses many English idioms.,The idiom means something different.
idle,adj./v.,idle- empty,空閒的; 懶惰的; 虛度,He was idle for a long time.,The engine was idling.
idol,n.,idol- image,偶像; 崇拜物,He is a pop idol.,She worships her idol.
ignorance,n.,ig- not; -gnor- know; -ance state/quality,無知; 愚昧,His ignorance was shocking.,Ignorance is bliss.
ignorant,adj.,ig- not; -gnor- know; -ant being,無知的; 愚昧的,He is ignorant of the facts.,She is ignorant about politics.
illustrate,v.,il- in; -lustr- light; -ate make/cause to be,說明; 闡明; 插圖,He illustrated his point with an example.,The book is beautifully illustrated.
illustration,n.,il- in; -lustr- light; -ation act/state of,插圖; 例證; 說明,The book contains many illustrations.,He used an illustration to explain.
imaginary,adj.,im- in; -agin- imagine; -ary pertaining to,想象的; 虛構的,He has an imaginary friend.,Imaginary numbers.
imaginative,adj.,im- in; -agin- imagine; -ative tending to,富有想象力的; 有創造力的,She is a very imaginative writer.,An imaginative solution.
imitate,v.,imit- imitate; -ate make/cause to be,模仿; 仿效,He imitated his father's voice.,Children imitate adults.
imitation,n.,imit- imitate; -ation act/state of,模仿; 仿製品,The bag is a good imitation.,He is good at imitation.
immigrant,n.,im- in; -migr- wander; -ant person,移民; 僑民,He is an immigrant from Mexico.,Many immigrants came to the country.
immigrate,v.,im- in; -migr- wander; -ate make/cause to be,移居; 移民,He immigrated to Canada.,They decided to immigrate.
immigration,n.,im- in; -migr- wander; -ation act/state of,移民; 移居,Immigration laws are strict.,The immigration process.
impact,n./v.,im- in; -pact- fasten,影響; 衝擊; 影響,The decision had a major impact.,The asteroid impacted the Earth.
imply,v.,im- in; -ply- fold,暗示; 意味,His silence implied agreement.,What do you imply?
impose,v.,im- in; -pos- put,強加; 徵收,They imposed a new tax.,He imposed his will on others.
impression,n.,im- in; -press- press; -ion act/state of,印象; 感覺,He made a good impression.,She had a strong impression.
incident,n.,in- in; -cid- fall; -ent being,事件; 事故,A minor incident occurred.,The incident caused a stir.
including,prep.,in- in; -clud- shut; -ing present participle,包括; 包含,"The price includes tax, including VAT.","Everyone was invited, including him."
incredible,adj.,in- not; cred- believe; -ible capable of,難以置信的; 驚人的,The story was incredible.,He has incredible talent.
indication,n.,in- in; -dic- say; -ation act/state of,指示; 跡象,There was no indication of a problem.,The symptoms are an indication of illness.
infant,n.,in- not; -fant- speak,嬰兒; 幼兒,The infant slept peacefully.,Infant mortality rate.
infection,n.,in- in; -fect- make; -ion act/state of,感染; 傳染病,He has a bacterial infection.,The infection spread rapidly.
inflation,n.,in- in; -flat- blow; -ion act/state of,通貨膨脹; 膨脹,Inflation is rising.,The inflation rate.
influential,adj.,in- in; -flu- flow; -ent- being; -ial pertaining to,有影響力的; 有權勢的,He is an influential figure.,An influential book.
informative,adj.,in- in; -form- form; -ative tending to,信息豐富的; 有益的,The lecture was very informative.,An informative article.
ingredient,n.,in- in; -gred- step; -ient being,成分; 配料,The ingredients for the cake.,The main ingredient.
initial,adj./n./v.,in- in; -it- go; -ial pertaining to,最初的; 開始的; 首字母; 簽署,His initial reaction was surprise.,He signed his initials.
injure,v.,in- in; -jur- swear,傷害; 損害,He injured his leg.,She was injured in the accident.
innocence,n.,in- not; noc- harm; -ence state/quality,無辜; 清白,He maintained his innocence.,The innocence of a child.
input,n./v.,in- in; put- put,輸入; 投入; 輸入,He provided valuable input.,The computer input the data.
insert,v./n.,in- in; -sert- join,插入; 嵌入; 插入物,He inserted the key into the lock.,The magazine had an insert.
inspection,n.,in- in; -spect- look; -ion act/state of,檢查; 視察,The car passed the inspection.,A safety inspection.
inspiration,n.,in- in; -spir- breathe; -ation act/state of,靈感; 啟發,He found inspiration in nature.,She was an inspiration to him.
